IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
5141732;MAGALLANES;;;;;;9.50;9.560;9.500;1962-04;0;DYIS;;Germany. Federal Republic Of;735;1962-04;5.52;0;  Unknown;9991001;;3.658;320;Motoren Werke Mannheim AG (MWM) - West Germany;8;MWM;;480;4;Oil;1;;Philippines;85.50;0.00;0.00;0.00;Distillate Fuel;Not Applicable;877;  Unknown;9991001;1363;1961-12;0.000;2017-01-23;1962-03;85.200;;Buenos Aires Lighterage Inc;5719638;1961-09;Oil Engine(s). Direct Drive;0;Buenos Aires Lighterage Inc;5719638;0;;;0;12.00;LPG Tanker;LPG-Small Gas Carrier;Meyer JL - GFR;GFR029022;Buenos Aires Lighterage Inc;5719638;In Service/Commission;  Unknown;9991001;0;1962
5194272;ALBATROS I;;;;;;5.34;5.390;5.340;1947-00;0;OXYV;;Netherlands;162;1980-00;2.32;0;  Unknown;9991001;;2.134;115;Saab-Scania AB - Sweden;6;Scania;DS8;125;4;Oil;1;;Denmark;0.00;0.00;0.00;0.00;Distillate Fuel;Not Applicable;127;  Unknown;9991001;145;;0.000;2016-11-28;;32.730;219002029;Therkildsen/Jensen;5196711;1945-00;Oil Engine(s). Geared Drive;0;Therkildsen/Jensen;5196711;0;;;0;0.00;LPG Tanker;LPG-Small Gas Carrier;Gideon;NTH043045;Therkildsen/Jensen;5196711;In Service/Commission;Therkildsen/Jensen;5196711;0;1947
5373139;MILJOTANK;;;;;;7.57;7.620;7.570;1939-07;0;LCSI;;Germany (Pre-1949);293;1939-07;3.31;0;  Unknown;9991001;;3.201;240;Alpha Diesel A/S - Denmark;5;Alpha;405-24VO;400;2;Oil;1;400;Norway;7.00;0.00;0.00;1.50;Distillate Fuel;Not Applicable;168;  Unknown;9991001;295;;15.000;2018-04-03;;41.480;257013600;Mongstad Sjotransport AS;5248004;1937-07;Oil Engine(s). Direct Drive;0;Mongstad Sjotransport AS;5248004;0;;;0;9.00;LPG Tanker;LPG-Small Gas Carrier;Kremer D.W. Elmshorn;GER023118;Mongstad Sjotransport AS;5248004;In Service/Commission;Mongstad Sjotransport AS;5248004;0;1939
5407784;METALTANQUE II;;;;;;15.60;15.700;15.600;1963-02;0;;;Japan;4323;1987-01;8.01;0;Elcano Navegacao;5017091;;6.450;500;Mitsui Shipbuilding & Engineering C Ltd - Japan;6;B&W;6-50VTBF-110;1100;2;Oil;1;;Brazil;0.00;0.00;0.00;0.00;Distillate Fuel;Not Applicable;4027;Empresa Naviera Elcano SA;0343225;3724;;0.000;2017-09-04;;108.460;;Elcano Navegacao;5017091;1960-01;Oil Engine(s). Direct Drive;0;Elcano Navegacao;5017091;0;;;0;14.00;LPG Tanker;LPG-Small Gas Carrier;Fujinagata;JPN002014;Elcano Navegacao;5017091;Laid-Up;Elcano Navegacao;5017091;0;1963
6512574;PETROLANE No. 1;;;;;;10.80;10.850;10.800;1965-00;0;HSB2025;;Japan;1444;1965-00;5.01;0;  Unknown;9991001;;3.480;325;Nippon Hatsudoki - Japan;6;Nippon Hatsudoki;HS6NV325;460;4;Oil;1;;Thailand;60.00;0.00;0.00;3.00;Distillate Fuel;Not Applicable;935;  Unknown;9991001;999;;18.760;2017-01-25;;65.720;;Pee;1441671;1963-00;Oil Engine(s). Direct Drive;0;Pee;1441671;0;;;0;10.75;LPG Tanker;LPG-Small Gas Carrier;Ichikawa;JPN009028;Pee;1441671;In Service/Commission;  Unknown;9991001;0;1965
6720975;AL HELAL;;;;;;10.24;10.440;10.240;1967-00;0;;;Germany. Federal Republic Of;762;1967-06;5.41;0;  Unknown;9991001;;3.499;320;Atlas-MaK Maschinenbau GmbH - Kiel;6;MaK;;450;4;Oil;1;;Unknown;71.00;0.00;0.00;4.00;Distillate Fuel;Not Applicable;892;Overseas Shipping OSSCO;5133210;847;1966-07;0.000;2018-12-07;;62.310;;Overseas Shipping OSSCO;5133210;1965-06;Oil Engine(s). Direct Drive;0;NASR;5051066;0;;;0;12.00;LPG Tanker;LPG-Small Gas Carrier;Brand H. Kg;GFR005021;Overseas Shipping OSSCO;5133210;In Service/Commission;Overseas Shipping OSSCO;5133210;0;1967
6722296;CARIGAS;;;;;;14.00;14.030;14.000;1967-11;0;3EMN2;;Norway;3238;1967-11;7.01;0;  Unknown;9991001;;6.122;360;Sulzer Bros Ltd - Switzerland;7;Sulzer;7TAD36;600;2;Oil;1;;Panama;274.50;0.00;0.00;0.00;Distillate Fuel;Not Applicable;2940;WGS Trading;1555321;2638;1966-12;0.000;2017-10-09;1967-06;90.560;;WGS Trading;1555321;1965-12;Oil Engine(s). Direct Drive;0;Park Royal Finances;1555335;0;;;0;12.50;LPG Tanker;LPG-Small Gas Carrier;Moss Vaerft & Dokk AS;NOR017039;WGS Trading;1555321;In Service/Commission;  Unknown;9991001;0;1967
6802101;CRYSTAL VICTORY;;;;;;10.01;10.040;10.010;1967-00;0;5NGF;;Japan;731;1967-12;4.7;0;  Unknown;9991001;;4.060;250;Niigata Engineering Co Ltd - Japan;6;Niigata;6MG25AHS;320;4;Oil;1;;Nigeria;38.50;0.00;0.00;3.00;Yes. But Type Not Known;Not Applicable;1073;Rivway Lines;1010384;853;;0.000;2018-10-03;;58.320;;Rivway Lines;1010384;1965-00;Oil Engine(s). Direct Drive;0;Delmarine Services;1018019;0;;;0;10.00;LPG Tanker;LPG-Small Gas Carrier;Taguma Zosen KK;JPNA11050;Rivway Lines;1010384;In Service/Commission;  Unknown;9991001;0;1967
6806779;MINISTAR;;;;;0;10.41;10.420;10.410;1968-00;0;9WAO7;BV;Italy;1352;1968-00;5.41;2194;Uni-Fleet Sdn Bhd;1510529;20180618;4.649;300;Maschinenbau Augsburg-Nuernberg (MAN) - Augsburg;8;MAN;G8V30/45ATL;450;4;Oil;1;375;Malaysia;95.00;0.00;0.00;6.00;Distillate Fuel;Not Applicable;918;  Unknown;9991001;963;;22.000;2019-01-03;;66.350;533000117;Uni-Fleet Sdn Bhd;1510529;1965-01;Oil Engine(s). Direct Drive;0;Uni-Fleet Sdn Bhd;1510529;0;;;0;11.50;LPG Tanker;LPG-Small Gas Carrier;Benetti M&B Cantiere Navale;ITL004103;Uni-Fleet Sdn Bhd;1510529;In Service/Commission;Uni-Fleet Sdn Bhd;1510529;0;1968
6810251;SEA PET I;;;;;;12.00;12.040;12.000;1968-01;0;3EMI3;;Germany. Federal Republic Of;1622;1968-01;5.5;0;  Unknown;9991001;;4.630;320;Kloeckner-Humboldt-Deutz AG - West Germany;8;Deutz;RBV8M545;450;4;Oil;1;380;Panama;213.50;0.00;0.00;6.00;Distillate Fuel;Not Applicable;1591;  Unknown;9991001;1324;1967-07;24.600;2017-01-23;1967-10;71.190;351691000;Sea Bay Shipping Inc;5209381;1967-03;Oil Engine(s). Direct Drive;0;Sea Bay Shipping Inc;5209381;0;1995-01-01;$700000;0;10.00;LPG Tanker;LPG-Small Gas Carrier;Meyer JL - GFR;GFR029022;Sea Bay Shipping Inc;5209381;In Service/Commission;  Unknown;9991001;0;1968
