IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
5190202;TAUMA;;;;;;6.00;6.050;6.000;1954-00;0;CA2405;;Norway;234;1956-00;0;0;  Unknown;9991001;;2.642;200;Wichmann Motorfabrikk AS - Norway;4;Wichmann;4DCT;300;2;Oil;1;;Chile;0.00;0.00;0.00;0.00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;172;;0.000;04/01/2019;;30.000;725000637;Navegante Naviera El Ltda;5407490;1952-00;Oil Engine(s). Direct Drive;0;Navegante Naviera El Ltda;5407490;0;;;0;7.00;Chemical Tanker;;Glommens Mekaniske Verksted;NOR031018;Navegante Naviera El Ltda;5407490;In Service/Commission;Navegante Naviera El Ltda;5407490;0;1954
5214967;SAFE HAND;;;;;;6.99;7.040;6.990;1950-00;0;2BRQ8;;United Kingdom;203;1950-00;0;0;  Unknown;9991001;;2.439;165;Bergius Kelvin Co. Ltd. - Glasgow;8;Kelvin;T8;184;4;Oil;1;;United Kingdom;0.00;0.00;0.00;0.00;Yes. But Type Not Known;Not Applicable;0;Mersey Tanker Lighterage;1898943;205;;7.314;01/10/2018;;30.550;;Mersey Tanker Lighterage;1898943;1948-00;Oil Engine(s). Geared Drive;0;Logantor;1304058;0;;;0;8.50;Vegetable Oil Tanker;;Yarwood;GBI094031;Mersey Tanker Lighterage;1898943;In Service/Commission;  Unknown;9991001;0;1950
5379315;TN-1;;;;;;7.35;7.370;7.350;1956-12;0;UBCI5;RS;Norway;662;1956-12;3.93;993;  Unknown;9991001;;3.493;144;AB Volvo Penta - Sweden;6;Volvo Penta;TAMD165A;165;4;Oil;1;1800;Russia;0.00;0.00;0.00;0.00;Yes. But Type Not Known;Not Applicable;0;  Unknown;9991001;397;1955-12;0.000;19/11/2018;1956-09;53.720;273355840;AS-Tanker Ltd;5998609;1955-06;Oil Engine(s). Geared Drive;0;AS-Tanker Ltd;5998609;0;;;0;11.00;Vegetable Oil Tanker;;Framnaes Mekaniske Verksted AS;NOR008013;AS-Tanker Ltd;5998609;In Service/Commission;AS-Tanker Ltd;5998609;0;1956
5423635;BORA K;;;;;;11.18;11.230;11.180;1964-02;0;TCBJ7;;Italy;1638;1964-02;4.5;2336;  Unknown;9991001;;3.887;300;Maschinenbau Augsburg-Nuernberg (MAN) - Augsburg;7;MAN;G7V30/45ATL;450;4;Oil;1;;Turkey;56.00;0.00;0.00;3.00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;1082;1962-08;0.000;27/01/2017;1963-08;81.340;271002202;Rptd Sold Undisclosed Interest;9991942;1962-06;Oil Engine(s). Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;10.50;Chemical/Products Tanker;;Cassaro;ITL041018;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1964
6360696;VETOR QUINTO;;;;;;9.45;9.480;9.450;1963-00;0;INVR;RI;Norway;944;1963-00;4.07;0;  Unknown;9991001;20180531;3.738;320;Kloeckner-Humboldt-Deutz AG - West Germany;6;Deutz;RBV6M545;450;4;Oil;1;380;Italy;0.00;0.00;0.00;0.00;Distillate Fuel;Not Applicable;0;Vetor Srl;617908;619;;0.000;05/04/2018;;62.030;247222900;Vetor Srl;617908;1961-00;Oil Engine(s). Direct Drive;0;Vetor Srl;617908;0;;;0;11.50;Wine Tanker;;Grotvaagen Verft;NOR085019;Vetor Srl;617908;In Service/Commission;Vetor Srl;617908;0;1963
6407432;CAPETAN GIORGIS II;;;;;;9.40;9.730;9.400;1964-04;0;SV4150;;Netherlands;1602;1964-04;4.96;0;  Unknown;9991001;;4.192;300;Motorenfabriek Smit & Bolnes NV - Netherlands;5;Smit-Bolnes;305HDK;550;2;Oil;1;;Greece;72.50;0.00;0.00;0.00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;916;1963-09;0.000;04/08/2012;1964-02;76.080;239839000;Thalassopouli Maritime;1879921;1963-03;Oil Engine(s). Direct Drive;0;Thalassopouli Maritime;1879921;0;;;0;11.00;Chemical/Products Tanker;;Nieuwe Noord Nederland Nv;NTH060024;Thalassopouli Maritime;1879921;In Service/Commission;Thalassopouli Maritime;1879921;0;1964
6409636;TIMI;;;;;;10.41;10.440;10.410;1964-03;0;HO5365;;Germany. Federal Republic Of;1628;1964-04;6;0;Veesham Shipping Inc;5090593;;5.188;320;Kloeckner-Humboldt-Deutz AG - West Germany;8;Deutz;RBV8M545;450;4;Oil;1;380;Panama;96.50;0.00;0.00;5.00;Distillate Fuel;Not Applicable;0;Matco Trading LLC;5090580;1212;1963-09;0.000;25/07/2018;;73.600;370321000;Veesham Shipping Inc;5090593;1963-06;Oil Engine(s). Direct Drive;0;Matco Trading LLC;5090580;0;;;0;12.25;Wine Tanker;;Elsflether Ag;GFR011011;Veesham Shipping Inc;5090593;In Service/Commission;Veesham Shipping Inc;5090593;0;1964
6417035;ALEXANDROS I;;;;;;8.62;8.690;8.620;1964-00;0;SX8304;;Germany. Federal Republic Of;808;1964-09;3.74;0;  Unknown;9991001;;3.588;320;Maschinenbau Kiel AG (MaK) - Kiel;6;MaK;MSU451A;450;4;Oil;1;;Greece;39.50;0.00;0.00;2.50;Distillate Fuel;Not Applicable;0;  Unknown;9991001;500;;0.000;27/05/2014;;59.310;237232600;Ionian Cargo Naftiki Eteria;5626153;1963-06;Oil Engine(s). Direct Drive;0;Ionian Cargo Naftiki Eteria;5626153;0;;;0;10.50;Chemical Tanker;;Kremer Elmshorn;GFR023019;Ionian Cargo Naftiki Eteria;5626153;In Service/Commission;Ionian Cargo Naftiki Eteria;5626153;0;1964
6418845;IRENE SYNDIC;;;;;;10.04;10.040;0.000;1964-00;0;;;Germany. Federal Republic Of;1135;1964-00;3.99;0;  Unknown;9991001;;3.683;320;Maschinenbau Kiel AG (MaK) - Kiel;4;MaK;4ZU451AK;450;4;Oil;1;;Nigeria;54.00;0.00;0.00;3.50;Yes. But Type Not Known;Not Applicable;0;  Unknown;9991001;732;;0.000;27/05/2016;;61.930;;Zeek Nigeria Ltd;1424086;1961-01;Oil Engine(s). Direct Drive;0;Zeek Nigeria Ltd;1424086;0;;;0;11.00;Edible Oil Tanker;;Buesumer;GFR009030;Zeek Nigeria Ltd;1424086;In Service/Commission;  Unknown;9991001;0;1964
6423888;NORA THOMSEN;;;;;;8.03;8.060;8.030;1964-07;0;;DR;Norway;727;1964-07;6.71;0;  Unknown;9991001;;4.770;280;Wichmann Motorfabrikk AS - Norway;8;Wichmann;8ACA;420;2;Oil;1;;Unknown;0.00;0.00;0.00;0.00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;485;1963-12;0.000;23/10/2018;1964-06;53.000;;Thomsen Import/Eksport ApS;5999641;1963-09;Oil Engine(s). Direct Drive;0;Thomsen Import/Eksport ApS;5999641;0;;;0;0.00;Vegetable Oil Tanker;;Brattvag & Johansen;NOR036018;Thomsen Import/Eksport ApS;5999641;In Service/Commission;  Unknown;9991001;0;1964
6500038;PATRIOT SEJATI;;;;;;9.40;9.500;9.400;1965-01;0;PLNG;;Netherlands;1104;1965-01;4.2;0;  Unknown;9991001;;3.925;320;Kloeckner-Humboldt-Deutz AG - West Germany;6;Deutz;RBV6M545;450;4;Oil;1;380;Indonesia;80.00;0.00;0.00;3.00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;770;1964-09;0.000;18/04/2016;1964-10;63.450;;Trans Palm Nusantara;5195506;1963-09;Oil Engine(s). Direct Drive;0;Trans Palm Nusantara;5195506;0;;;0;11.50;Vegetable Oil Tanker;;Biesbosch;NTH026021;Trans Palm Nusantara;5195506;In Service/Commission;Trans Palm Nusantara;5195506;0;1965
6505325;SITULA;;;;;;10.42;10.440;10.420;1965-03;0;5NMN;;Germany. Federal Republic Of;2000;1965-03;6.01;0;  Unknown;9991001;;3.760;320;Kloeckner-Humboldt-Deutz AG - West Germany;6;Deutz;RBV6M545;450;4;Oil;1;380;Nigeria;43.00;0.00;0.00;5.00;Yes. But Type Not Known;Not Applicable;0;  Unknown;9991001;1049;1964-09;19.700;06/10/2017;1964-12;69.800;;Upstream Shipping Ltd;5432793;1964-03;Oil Engine(s). Direct Drive;0;Upstream Shipping Ltd;5432793;0;;;0;11.50;Chemical/Products Tanker;;Rolandwerft Bremen;GFR039021;Upstream Shipping Ltd;5432793;In Service/Commission;Royal Marine & Spares Ltd;5484292;0;1965
6508511;TANIS;;;;;;8.39;8.490;8.390;1965-07;0;5IM473;IS;United Kingdom;698;1965-07;3.36;0;  Unknown;9991001;;2.896;222;Lister Blackstone Marine Ltd. - Dursley;6;Blackstone;ERS6;292;4;Oil;1;750;Tanzania (Zanzibar);15.00;0.00;0.00;1.00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;385;;12.800;21/09/2017;;46.640;;Global Shipping & Marine Ltd;5952480;1962-07;Oil Engine(s). Geared Drive;0;Global Shipping & Marine Ltd;5952480;0;;;0;7.50;Chemical/Products Tanker;;Cook J.W. Wivenhoe;GBI023021;Global Shipping & Marine Ltd;5952480;In Service/Commission;  Unknown;9991001;0;1965
6513231;GRIGORIS P;;;;;;9.66;9.680;9.660;1965-07;0;SX6099;;Germany. Federal Republic Of;1040;1965-07;4.14;0;  Unknown;9991001;;3.779;310;Alpha Diesel A/S - Denmark;6;Alpha;496R;490;2;Oil;1;310;Greece;43.50;0.00;0.00;0.00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;497;1965-01;0.000;17/04/2018;1965-04;63.960;237148100;Acheloos Naftiki Eteria;5626207;1962-07;Oil Engine(s). Direct Drive;0;Acheloos Naftiki Eteria;5626207;0;;;0;11.00;Chemical/Products Tanker;;Luerssen;GFR027019;Acheloos Naftiki Eteria;5626207;In Service/Commission;Acheloos Naftiki Eteria;5626207;0;1965
6600890;NAOMI;;;;;;14.48;14.530;14.480;1966-02;0;5NGN;;United Kingdom;5286;1990-10;8.21;0;  Unknown;9991001;;7.316;500;Helsingor Skibsvaerft og Maskinbyggeri A/S - Denmark;6;B&W;6-50VTBF-110;1100;2;Oil;1;170;Nigeria;0.00;508.00;0.00;15.00;Distillate Fuel;Residual Fuel;0;  Unknown;9991001;3666;;0.000;30/10/2018;;111.740;;Rptd Sold Nigeria;9992676;1963-02;Oil Engine(s). Direct Drive;0;Rptd Sold Nigeria;9992676;0;;;0;16.00;Chemical/Products Tanker;;Burntisland;GBI016019;Rptd Sold Nigeria;9992676;In Service/Commission;  Unknown;9991001;0;1966
