IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
5011705;ALLEANZA;;;;;;6,00;6,050;6,000;1945-00;0;;;Italy;460;1945-00;2,7;0;  Unknown;9991001;;2,400;145;IVECO AIFO S.p.A. - Pregnana Milanese;8;Iveco Aifo;8281.M03;130;4;Oil;1;;Italy;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;161;;0,000;2016-02-29;;34,290;;Foti E;1242049;1943-00;Oil Engine(s), Geared Drive;0;Foti E;1242049;0;;;0;8,00;Water Tanker;;Ansaldo Genoa;ITL002015;Foti E;1242049;In Service/Commission;Foti E;1242049;0;1945
5080093;SINDACO MALVITO V;;;;;;8,60;8,690;8,600;1958-08;0;IRIR;RI;Germany, Federal Republic Of;774;1958-08;3,74;1210;  Unknown;9991001;20190707;3,513;320;Kloeckner-Humboldt-Deutz AG - West Germany;6;Deutz;RBV6M545;450;4;Oil;1;330;Italy;56,00;0,00;0,00;2,50;Distillate Fuel;Not Applicable;0;Vetor Srl;0617908;490;1957-12;0,000;2018-04-05;1958-05;58,670;247223300;Vetor Srl;0617908;1956-12;Oil Engine(s), Direct Drive;0;Vetor Srl;0617908;0;;;0;10,50;Water Tanker;;Kremer Elmshorn;GFR023019;Vetor Srl;0617908;In Service/Commission;Vetor Srl;0617908;0;1958
5270181;ILIAS P;;;;;;5,97;6,020;5,970;1946-00;0;;;Italy;224;1946-00;2,7;0;  Unknown;9991001;;2,401;265;SA Ansaldo - Italy;3;Ansaldo;;410;4;Oil;1;;Unknown;9,00;0,00;0,00;1,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;150;;0,000;2017-09-08;;32,360;;Rptd Sold Undisclosed Interest;9991942;1944-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;8,50;Water Tanker;;Ansaldo Genoa;ITL002015;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1946
5271367;NECOM;;;;;;9,91;10,240;9,910;1961-05;0;ILJN;RI;United Kingdom;1519;1961-05;5,88;2328;Vetor Srl;0617908;20180715;5,196;340;Nydqvist & Holm AB - Sweden;4;Polar;MN14S;570;2;Oil;1;;Italy;58,00;0,00;0,00;3,00;Distillate Fuel;Not Applicable;0;Vetor Srl;0617908;922;;0,000;2018-12-13;;65,660;247223700;Vetor Srl;0617908;1959-05;Oil Engine(s), Direct Drive;0;Vetor Srl;0617908;0;;;0;11,50;Water Tanker;;Blyth Dry Docks;GBI009038;Vetor Srl;0617908;In Service/Commission;Vetor Srl;0617908;0;1961
5297610;ALCIDE;;;;;;5,77;5,820;5,770;1960-00;0;IQYB;RI;Netherlands;250;1960-00;2,65;0;  Unknown;9991001;20180130;2,310;130;Kloeckner-Humboldt-Deutz AG - West Germany;4;Deutz;;170;4;Oil;2;;Italy;7,50;0,00;0,00;0,50;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;142;;0,000;2018-02-14;;34,960;;Labromare Srl;1770353;1958-00;Oil Engine(s), Direct Drive;0;Labromare Srl;1770353;0;;;0;7,75;Water Tanker;;Niestern's Groningen;NTH250046;Labromare Srl;1770353;In Service/Commission;Labromare Srl;1770353;0;1960
5313892;SAQQA;;;;;;8,28;8,280;0,000;1963-00;0;;;Pakistan;259;1963-09;0;443;  Unknown;9991001;;2,001;235;Maschinenbau Augsburg-Nuernberg (MAN) - Augsburg;6;MAN;G6V235/330ATL;330;4;Oil;1;;Pakistan;22,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Pakistan Govt;0671632;209;1962-03;15,000;2018-10-12;;39,910;;Pakistan Govt;0671632;1961-00;Oil Engine(s), Direct Drive;0;Karachi Port Trust;0045510;0;;;0;9,00;Water Tanker;;Karachi Shipyard & Engineering;PAK001015;Karachi Port Trust;0045510;In Service/Commission;Karachi Port Trust;0045510;0;1963
5323407;SHINKO MARU;;;;;;6,00;6,020;6,000;1960-00;0;;;Japan;220;1960-00;2,63;0;  Unknown;9991001;;2,100;310; - Japan ;4;;;380;2;Oil;1;;Korea, South;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;120;;0,000;2009-06-15;;30,000;;Rptd Sold Korea S;9992296;1958-00;Oil Engine(s), Direct Drive;0;Rptd Sold Korea S;9992296;0;;;0;0,00;Water Tanker;;Hashihama Shbldg - Imabari;JPN074246;Rptd Sold Korea S;9992296;In Service/Commission;  Unknown;9991001;0;1960
5359951;PALMAROLA;;;;;;9,45;9,480;9,450;1962-07;0;INBJ;RI;Norway;899;1962-07;4,05;0;  Unknown;9991001;20190714;3,693;320;Kloeckner-Humboldt-Deutz AG - West Germany;6;Deutz;RBV6M545;450;4;Oil;1;380;Italy;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Vetor Srl;0617908;583;1961-12;0,000;2018-02-14;1962-04;62,060;247223500;Vetor Srl;0617908;1959-01;Oil Engine(s), Direct Drive;0;Vetor Srl;0617908;0;;;0;12,00;Water Tanker;;Soviknes Verft AS;NOR117049;Vetor Srl;0617908;In Service/Commission;Vetor Srl;0617908;0;1962
5371416;TWEED;;;;;;6,86;6,860;0,000;1959-00;0;9YBU;;Trinidad & Tobago;299;1959-00;2,74;0;  Unknown;9991001;;0,000;108;Detroit Diesel Corporation - Detroit, Mi;6;G.M. (Detroit Diesel);6V-71;127;2;Oil;1;;Trinidad & Tobago;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Coloured Fin Ltd;1774121;122;1958-04;0,000;2018-10-12;1958-10;34,290;;Coloured Fin Ltd;1774121;1957-00;Oil Engine(s), Geared Drive;0;Coloured Fin Ltd;1774121;0;;;0;8,00;Water Tanker;;Furness Trinidad;TRI001135;Coloured Fin Ltd;1774121;In Service/Commission;Coloured Fin Ltd;1774121;0;1959
5426637;MARIANNA;;;;;;5,97;6,000;5,970;1946-01;0;IVGU;;Italy;477;1946-01;2,7;0;  Unknown;9991001;;2,496;130;Isotta Fraschini SpA - Italy;12;V.M.;1312MHI;140;4;Oil;1;;Italy;9,00;0,00;0,00;1,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;167;;0,000;2016-02-29;;35,920;;Armatoriale Trasporti;0738011;1944-01;Oil Engine(s), Geared Drive;0;Armatoriale Trasporti;0738011;0;;;0;8,50;Water Tanker;;Ansaldo Genoa;ITL002015;Armatoriale Trasporti;0738011;In Service/Commission;Armatoriale Trasporti;0738011;0;1946
6405771;BOCAC;;;;;;6,70;6,740;6,700;1955-00;0;9A6196;CS;Yugoslavia;255;1955-00;2,8;0;  Unknown;9991001;;2,591;127;Saab-Scania AB - Sweden;6;Scania;D11;145;4;Oil;2;1800;Croatia;2,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;149;;0,000;2015-10-02;;33,580;;Naraplov doo;5087271;1953-00;Oil Engine(s), Geared Drive;0;Naraplov doo;5087271;0;;;0;0,00;Water Tanker;;Titovo Brodogradiliste;YUG005010;Naraplov doo;5087271;In Service/Commission;Naraplov doo;5087271;0;1955
6407925;HATSUMIZU MARU;;;;;;7,70;0,000;7,700;1964-00;0;;;Japan;226;1964-01;3,1;0;  Unknown;9991001;;2,450;200;Fuji Diesel Co Ltd - Japan;6;Fuji;;240;4;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;176;1963-09;4,000;2012-08-04;1963-12;26,340;;Rptd Sold Undisclosed Interest;9991942;1962-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Water Tanker;;Osaka Shipbuilding Co Ltd;JPN029011;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1964
