IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
7232054;NEFTERUDOVOZ- 9M;;;;;;13,00;13,470;13,000;1972-00;0;UFGO;;U.S.S.R.;3345;1972-00;5,82;4854;Oil Marine Group;5196416;;3,800;320;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";6;S.K.L.;6NVD48A-U;480;4;Oil;2;428;Russia;77,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Volgotanker Volzhski Oil Shpg;0555669;2613;;0,000;2014-11-03;;118,930;273348600;Oil Marine Group;5196416;1969-01;Oil Engine(s), Direct Drive;0;Volgotanker Volzhski Oil Shpg;0555669;0;;;0;11,00;Ore/Oil Carrier;;Kama;USR033046;Volgotanker Volzhski Oil Shpg;0555669;In Service/Commission;Oil Marine Group;5196416;0;1972
7304065;NEFTERUDOVOZ-10M;;;;;;13,00;13,470;13,000;1972-11;0;UBVK;;U.S.S.R.;3345;1972-11;5,8;4854;Volga Shipping Co LLC;5757331;;3,800;320;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";6;S.K.L.;6NVD48-2U;480;4;Oil;2;428;Russia;77,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;2613;;0,000;2016-05-27;;118,930;273342200;Volga Shipping Co LLC;5757331;1969-01;Oil Engine(s), Direct Drive;0;Nikolaevich SV;5757036;0;;;0;11,00;Ore/Oil Carrier;;Kama;USR033046;Volga Shipping Co LLC;5757331;In Service/Commission;Volga Shipping Co LLC;5757331;0;1972
7517507;ARCTIC;DAIHATSUDIESEL;DAIHATSU;6DK-20;4;960;22,86;22,920;22,860;1978-06;0;VCLM;LR;Canada;28418;1978-06;15,24;38939;Anglo-Eastern Montreal;5355681;20210507;11,522;520;Maschinenbau Augsburg-Nuernberg (MAN) - Augsburg;14;MAN;14V52/55A;550;4;Oil;1;450;Canada;317,00;1535,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Fednav Ltd;0041199;20236;1976-10;37,800;2019-01-14;1977-12;220,830;316056000;Fednav Ltd;0041199;1973-11;Oil Engine(s), Geared Drive;0;Fednav Ltd;0041199;0;;;0;15,50;Bulk/Oil Carrier (OBO);Bulk Carrier-Large Handy;Port Weller Dry Docks;CAN081051;Fednav Ltd;0041199;In Service/Commission;Anglo-Eastern Montreal;5355681;0;1978
7630282;NEFTERUDOVOZ-21M;;;;;;13,00;13,470;13,000;1976-08;0;UFGY;;U.S.S.R.;3345;1976-00;5,8;4854;  Unknown;9991001;;3,800;320;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";6;S.K.L.;6NVD48A-U;480;4;Oil;2;428;Russia;77,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;2613;;0,000;2016-10-17;;118,930;273342700;Neman Shipping Ltd;5857013;1971-07;Oil Engine(s), Direct Drive;0;Neman Shipping Ltd;5857013;0;;;0;11,00;Ore/Oil Carrier;;Kama;USR033046;Neman Shipping Ltd;5857013;In Service/Commission;Neman Shipping Ltd;5857013;0;1976
7643978;MARQUIZ;;;;;;13,00;13,470;13,000;1977-07;0;UABT;RS;U.S.S.R.;3373;1977-07;5,8;4854;Baltic Ecological Co LLC;5791240;;3,800;320;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";6;S.K.L.;6NVD48A-U;480;4;Oil;2;428;Russia;77,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;2613;;0,000;2019-01-03;;118,930;273274100;Baltic Ecological Co LLC;5791240;1971-07;Oil Engine(s), Direct Drive;0;Baltic Ecological Co LLC;5791240;0;;;0;11,00;Ore/Oil Carrier;;Kama;USR033046;Baltic Ecological Co LLC;5791240;In Service/Commission;Baltic Ecological Co LLC;5791240;0;1977
7645249;NEFTERUDOVOZ-24M;;;;;;13,00;13,470;13,000;1977-07;0;;;U.S.S.R.;3345;1997-00;5,8;4854;  Unknown;9991001;;3,800;320;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";6;S.K.L.;6NVD48A-U;480;4;Oil;2;428;Unknown;143,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;2613;;0,000;2017-07-19;;118,920;;Promoline Enterprises Ltd;5818767;1971-07;Oil Engine(s), Direct Drive;0;Promoline Enterprises Ltd;5818767;0;;;0;11,00;Ore/Oil Carrier;;Kama;USR033046;Promoline Enterprises Ltd;5818767;In Service/Commission;  Unknown;9991001;0;1977
7646683;NEFTERUDOVOZ-25M;;;;;;13,00;13,470;13,000;1977-07;0;;;U.S.S.R.;3345;1977-00;5,8;4854;  Unknown;9991001;;3,800;320;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";6;S.K.L.;6NVD48A-2U;480;4;Oil;2;;Unknown;77,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;2613;;0,000;2017-05-02;;118,930;;Rptd Sold Undisclosed Interest;9991942;1971-07;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;11,00;Ore/Oil Carrier;;Kama;USR033046;Rptd Sold Undisclosed Interest;9991942;Laid-Up;  Unknown;9991001;0;1977
7730006;NEFTERUDOVOZ-26M;;;;;;13,47;13,470;0,000;1977-07;0;;;U.S.S.R.;3345;1977-00;5,8;4854;  Unknown;9991001;;3,800;320;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";6;S.K.L.;6NVD48A-U;480;4;Oil;2;428;Unknown;77,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Volgotanker Volzhski Oil Shpg;0555669;2613;;0,000;2017-05-02;;118,930;;Volgotanker Volzhski Oil Shpg;0555669;1971-07;Oil Engine(s), Direct Drive;0;Volgotanker Volzhski Oil Shpg;0555669;0;;;0;11,00;Ore/Oil Carrier;;Kama;USR033046;Volgotanker Volzhski Oil Shpg;0555669;Laid-Up;  Unknown;9991001;0;1977
7733553;NEFTERUDOVOZ-27M;;;;;;13,47;13,470;0,000;1978-07;0;UCOT;;U.S.S.R.;3345;1978-00;5,8;4854;  Unknown;9991001;;3,800;320;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";6;S.K.L.;6NVD48A-U;480;4;Oil;2;428;Russia;77,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Volgotanker Volzhski Oil Shpg;0555669;2699;;0,000;2017-05-02;;118,930;273429020;Volgotanker Volzhski Oil Shpg;0555669;1971-07;Oil Engine(s), Direct Drive;0;Volgotanker Volzhski Oil Shpg;0555669;0;;;0;11,00;Ore/Oil Carrier;;Kama;USR033046;Volgotanker Volzhski Oil Shpg;0555669;In Service/Commission;  Unknown;9991001;0;1978
7733565;NEFTERUDOVOZ-28M;;;;;;13,00;13,470;13,000;1978-07;0;;;U.S.S.R.;3345;1978-00;5,8;4854;  Unknown;9991001;;3,800;320;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";6;S.K.L.;6NVD48A-U;480;4;Oil;2;428;Unknown;77,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;2615;;0,000;2017-12-11;;119,040;;Medeks Holding Ltd;5981521;1971-07;Oil Engine(s), Direct Drive;0;Medeks Holding Ltd;5981521;0;;;0;11,00;Ore/Oil Carrier;;Kama;USR033046;Medeks Holding Ltd;5981521;In Service/Commission;  Unknown;9991001;0;1978
