IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
5024738;VALO;;;;;;21,34;21,390;21,340;1953-00;0;;AB;United States Of America;25455;1982-00;10,98;0;  Unknown;9991001;20110429;8,025;0;Westinghouse Elec. Corp. - Chester, Pa;;Westinghouse;YYYYYY;0;;Turbine;1;;Canada;550,00;0,00;0,00;0,00;Residual Fuel;Not Applicable;0;Algoma Central Corp;0320395;16636;;0,000;2018-10-15;;233,790;;Algoma Central Corp;0320395;1950-01;Steam Turbine(s), Geared Drive;0;Algoma Central Corp;0320395;0;2006-06-07;$20000000;0;16,50;Bulk Carrier, Self-discharging, Laker;;American Shbldg Co - Lorain;USAA12070;Algoma Central Corp;0320395;Laid-Up;Algoma Central Corp;0320395;0;1953
5025691;ARTHUR M. ANDERSON;;;;;;21,34;21,390;21,340;1952-08;0;WDH7563;AB;United States Of America;27128;1952-08;10,98;0;Not Applicable;9984588;20100327;8,027;0;Westinghouse Elec. & Mfg. Co. - Pittsburgh, Pa;;Westinghouse;YYYYYY;0;;Turbine;1;;United States Of America;530,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Great Lakes Fleet Inc;0411808;12341;;0,000;2018-12-31;;233,790;366972020;Great Lakes Fleet Inc;0411808;1949-01;Steam Turbine(s), Geared Drive;0;Great Lakes Fleet Inc;0411808;0;;;0;14,00;Bulk Carrier, Self-discharging, Laker;;American Shbldg Co - Lorain;USAA12070;Keystone Shipping Co;0366501;In Service/Commission;Keystone Shipping Co;0366501;0;1952
5065392;CASON J. CALLAWAY;;;;;;21,34;21,390;21,340;1952-10;0;WDH7556;AB;United States Of America;26778;1952-10;10,98;0;Keystone Shipping Co;0366501;20130330;8,027;0;Westinghouse Elec. & Mfg. Co. - Pittsburgh, Pa;;Westinghouse;YYYYYY;0;;Turbine;1;;United States Of America;540,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Great Lakes Fleet Inc;0411808;12309;;0,000;2018-02-13;;228,450;366971340;Great Lakes Fleet Inc;0411808;1949-01;Steam Turbine(s), Geared Drive;0;Great Lakes Fleet Inc;0411808;0;;;0;14,00;Bulk Carrier, Self-discharging, Laker;;Great Lakes Eng R. Rouge;USAA18070;Keystone Shipping Co;0366501;In Service/Commission;Keystone Shipping Co;0366501;0;1952
5097450;KAYE E. BARKER;;;;;;21,34;21,390;21,340;1952-06;0;WCF3012;AB;United States Of America;28388;1952-06;10,98;0;  Unknown;9991001;20090322;8,027;320;Rolls-Royce Marine AS - Norway;6;Bergens;B32:40L6P;400;4;Oil;2;750;United States Of America;0,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Mormac Marine Group Inc;2042780;11948;;0,000;2018-05-04;;233,790;366904910;Interlake Steamship Co;0358664;1949-03;Oil Engine(s), Geared Drive;0;Interlake Steamship Co;0358664;0;;;0;14,00;Bulk Carrier, Self-discharging, Laker;;American Shbldg Co - Toledo;USAA12080;Interlake Steamship Co;0358664;In Service/Commission;Interlake Steamship Co;0358664;0;1952
5102865;MICHIPICOTEN;;;;;;21,34;21,390;21,340;1952-06;0;CFG8060;AB;United States Of America;23491;1952-06;11,28;0;Lower Lakes Towing Ltd;1944634;20130501;8,006;320;Caterpillar Motoren GmbH & Co. KG - Germany;6;MaK;6M32C;480;4;Oil;2;600;Canada;40,00;650,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Rand Logistics Inc;5367167;15366;;0,000;2018-12-14;1952-03;212,760;316002501;Lower Lakes Towing Ltd;1944634;1951-03;Oil Engine(s), Geared Drive;0;Lower Lakes Towing Ltd;1944634;0;;;0;14,00;Bulk Carrier, Self-discharging, Laker;;Bethlehem-Sparrows;USA404433;Lower Lakes Towing Ltd;1944634;In Service/Commission;Lower Lakes Towing Ltd;1944634;0;1952
5128467;MISSISSAGI;;;;;;18,29;18,370;18,290;1943-07;0;CFG8050;AB;United States Of America;15787;1943-07;10,67;0;Lower Lakes Towing Ltd;1944634;20130429;7,470;280;Caterpillar Tractor Co - USA;12;Caterpillar;3612TA;300;4;Oil;1;900;Canada;310,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Rand Logistics Inc;5367167;10588;;0,000;2018-12-24;;189,140;316004940;Lower Lakes Towing Ltd;1944634;1940-01;Oil Engine(s), Geared Drive;0;Lower Lakes Towing Ltd;1944634;0;;;0;12,00;Bulk Carrier, Self-discharging, Laker;;Great Lakes Eng R. Rouge;USAA18070;Lower Lakes Towing Ltd;1944634;In Service/Commission;Lower Lakes Towing Ltd;1944634;0;1943
5148417;HERBERT C. JACKSON;;;;;;22,86;22,920;22,860;1959-00;0;WL3972;AB;United States Of America;24536;1959-00;11,43;0;  Unknown;9991001;20100327;8,241;320;Caterpillar Motoren GmbH & Co. KG - Germany;6;MaK;6M32E;460;4;Oil;2;750;United States Of America;457,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Mormac Marine Group Inc;2042780;12292;;0,000;2018-12-05;;210,010;366904930;Interlake Steamship Co;0358664;1956-01;Oil Engine(s), Geared Drive;0;Interlake Steamship Co;0358664;0;;;0;14,00;Bulk Carrier, Self-discharging, Laker;;Great Lakes Eng R. Rouge;USAA18070;Interlake Steamship Co;0358664;In Service/Commission;Interlake Steamship Co;0358664;0;1959
5166392;CUYAHOGA;DETROIT;G.M. (Detroit Diesel);12V-149-TI;2;727;18,29;18,340;18,290;1943-08;0;CFG6460;LR;United States Of America;15850;1943-08;10,67;0;Lower Lakes Towing Ltd;1944634;;7,570;280;Caterpillar Inc - USA;8;Caterpillar;3608TA;300;4;Oil;1;900;Canada;331,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Rand Logistics Inc;5367167;10532;;0,000;2019-01-02;;184,404;316004910;Lower Lakes Towing Ltd;1944634;1940-01;Oil Engine(s), Geared Drive;0;Black Creek Shipping Co Ltd;1658281;0;;;0;11,50;Bulk Carrier, Self-discharging, Laker;;American Shbldg Co - Lorain;USAA12070;Lower Lakes Towing Ltd;1944634;In Service/Commission;Lower Lakes Towing Ltd;1944634;0;1943
5173670;JOHN G. MUNSON;;;;;;21,95;22,000;21,950;1952-08;0;WDG7084;AB;United States Of America;26259;1952-08;10,98;0;Keystone Shipping Co;0366501;20180320;8,154;430;Caterpillar Motoren GmbH & Co. KG - Germany;6;MaK;6M43C;610;4;Oil;1;514;United States Of America;0,00;525,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Great Lakes Fleet Inc;0411808;15179;;0,000;2018-07-31;;234,170;366971360;Great Lakes Fleet Inc;0411808;1949-01;Oil Engine(s), Geared Drive;0;Great Lakes Fleet Inc;0411808;0;;;0;15,00;Bulk Carrier, Self-discharging, Laker;;Manitowoc Shipbuilding Inc;USAA21110;Keystone Shipping Co;0366501;In Service/Commission;Keystone Shipping Co;0366501;0;1952
5173876;SAGINAW;;;;;;21,95;22,000;21,950;1953-10;0;VF2560;AB;United States Of America;19390;1992-04;11;0;Lower Lakes Towing Ltd;1944634;20160215;7,800;430;Caterpillar Motoren GmbH & Co. KG - Germany;6;MaK;6M43C;610;4;Oil;1;500;Canada;396,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Rand Logistics Inc;5367167;14066;;0,000;2018-08-31;;195,000;316004950;Lower Lakes Towing Ltd;1944634;1950-01;Oil Engine(s), Geared Drive;0;Lower Lakes Towing Ltd;1944634;0;;;0;14,00;Bulk Carrier, Self-discharging, Laker;;Manitowoc Shipbuilding Inc;USAA21110;Lower Lakes Towing Ltd;1944634;In Service/Commission;Lower Lakes Towing Ltd;1944634;0;1953
