IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
5036896;BARIMA;;;;;;8,82;8,870;8,820;1939-05;0;8RAE;;United Kingdom;198;1939-05;0;0;  Unknown;9991001;;2,642;175;Davey, Paxman & Co. Ltd. - Colchester;6;Paxman;;255;4;Oil;2;;Guyana;4,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Guyana Govt;0042444;284;;0,000;2011-06-16;;40,260;;Guyana Govt;0042444;1937-05;Oil Engine(s), Geared Drive;0;Guyana Govt Harbours;0550800;0;;;0;10,00;General Cargo/Passenger Ship;;Ferguson Bros Port Glasgow Ltd;GBI036121;Guyana Govt Harbours;0550800;In Service/Commission;  Unknown;9991001;0;1939
5054343;BRUVIK;;;;;;7,37;7,400;7,370;1949-00;0;LHIZ;;Norway;18;1949-00;3,8;0;Vestland Marine Sp z oo;5007032;;3,000;250;Atlas-Diesel AB - Sweden;7;Polar;M47I;420;2;Oil;1;;Norway;15,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;291;;0,000;2018-07-04;;45,060;257209600;Indre Nordhordland Dampbaatlag;1588458;1946-01;Oil Engine(s), Direct Drive;0;Cruise Service AS;6043846;0;;;0;0,00;General Cargo/Passenger Ship;;Glommens Mekaniske Verksted;NOR031018;Indre Nordhordland Dampbaatlag;1588458;In Service/Commission;Vestland Marine Sp z oo;5007032;0;1949
5056640;CABIMAS;;;;;;10,34;10,390;10,340;1946-00;0;;;United States Of America;100;1946-00;0;0;  Unknown;9991001;;0,000;330;Atlas Imperial Diesel Engine Co - USA;6;Imperial;;405;4;Oil;2;;Venezuela;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;330;;0,000;2016-02-29;;43,380;;La Translacuste;0368351;1944-00;Oil Engine(s), Direct Drive;0;La Translacuste;0368351;0;;;0;0,00;General Cargo/Passenger Ship;;Levingston Orange;USA100010;La Translacuste;0368351;In Service/Commission;  Unknown;9991001;0;1946
5060122;CANJE PHEASANT;;;;;;8,84;9,200;8,840;1956-11;0;8RAH;;British Guiana;124;1956-11;3,05;0;  Unknown;9991001;;2,363;222;Blackstone & Co. Ltd. - Stamford;5;Blackstone;ESL5M;292;4;Oil;2;;Guyana;10,00;0,00;0,00;1,50;Yes, But Type Not Known;Not Applicable;0;Guyana Govt;0042444;298;1955-09;18,200;2012-01-17;1956-08;41,410;;Guyana Govt;0042444;1954-11;Oil Engine(s), Geared Drive;0;Guyana Govt;0042444;0;;;0;9,00;General Cargo/Passenger Ship;;Sprostons;BGU001014;Guyana Govt;0042444;In Service/Commission;  Unknown;9991001;0;1956
5074628;CIUDAD DE PARANA;;;;;;17,73;17,780;17,730;1962-00;0;LPSR;;Argentina;720;1962-00;3,61;0;  Unknown;9991001;;2,509;368;Crossley Bros. Ltd. - Manchester;8;Crossley;CRL8;483;2;Oil;3;;Argentina;223,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;1856;;0,000;2016-04-05;;105,160;;Linea Magica SA;1812974;1960-00;Oil Engine(s), Direct Drive;0;Linea Magica SA;1812974;0;;;0;14,00;General Cargo/Passenger Ship;;AFNE;ARG004010;Linea Magica SA;1812974;In Service/Commission;  Unknown;9991001;0;1962
5087493;DEDELE;;;;;;5,80;5,820;5,800;1961-05;0;;;Hong Kong, China;45;1961-05;2,75;0;  Unknown;9991001;;2,064;140;L. Gardner & Sons Ltd. - Manchester;4;Gardner;4L3B;197;4;Oil;2;;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;108;;0,000;2016-02-29;;22,360;;Rptd Sold Undisclosed Interest;9991942;1959-05;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;General Cargo/Passenger Ship;;Taikoo Dockyard & Engineering;HKG004054;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1961
5097345;EDRA;;;;;;8,40;8,440;8,400;1962-00;0;IMHO;;Italy;127;1962-09;3,66;0;  Unknown;9991001;;2,772;300;SA Fiat SGM - Torino;6;Fiat;B300.6SS;450;4;Oil;2;500;Italy;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;498;1961-09;0,000;2012-08-01;;64,010;247071300;Vision Tour;1953632;1960-00;Oil Engine(s), Geared Drive;0;Vision Tour;1953632;0;;;0;17,00;General Cargo/Passenger Ship;;Felszegi;ITL006015;Vision Tour;1953632;In Service/Commission;  Unknown;9991001;0;1962
5099812;EKET;;;;;;9,15;9,170;9,150;1950-02;0;;;United Kingdom;123;1950-02;2,98;0;  Unknown;9991001;;1,455;290;H. Widdop & Co. Ltd. - Keighley;6;Widdop;;345;2;Oil;2;;Nigeria;10,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Nigeria Govt;0042930;394;;0,000;2011-06-16;;54,560;;Nigeria Govt;0042930;1947-07;Oil Engine(s), Direct Drive;0;Nigeria Govt;0042930;0;;;0;11,50;General Cargo/Passenger Ship;;White Cowes;GBI092031;Nigeria Govt;0042930;In Service/Commission;  Unknown;9991001;0;1950
5109227;GEM STAR;;;;;;8,49;8,510;8,490;1962-00;0;;;Norway;110;1962-02;3,38;0;  Unknown;9991001;;2,756;280;Wichmann Motorfabrikk AS - Norway;5;Wichmann;5ACA;420;2;Oil;1;;St Vincent & The Grenadines;21,50;0,00;0,00;2,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;265;1961-03;0,000;2017-11-01;1961-09;42,420;;King/Lewis;1227444;1960-12;Oil Engine(s), Direct Drive;0;King/Lewis;1227444;0;;;0;10,50;General Cargo/Passenger Ship;;Skaalurens Skipsbyggeri AS;NOR077020;King/Lewis;1227444;In Service/Commission;  Unknown;9991001;0;1962
5117432;NORTHWIND;;;;;;7,90;7,950;7,900;1954-00;0;LLQJ;;Norway;154;1954-00;5,08;0;  Unknown;9991001;;3,353;290;Alpha Diesel A/S - Denmark;5;Alpha;495R;490;2;Oil;1;;Norway;16,50;0,00;0,00;2,00;Distillate Fuel;Not Applicable;0;Northwind Shipping AS;5660424;370;;0,000;2018-04-03;;41,000;257066600;Northwind Shipping AS;5660424;1952-00;Oil Engine(s), Direct Drive;0;Northwind Shipping AS;5660424;0;;;0;0,00;General Cargo/Passenger Ship;;Trosvik Verksted AS;NOR083155;Northwind Shipping AS;5660424;In Service/Commission;  Unknown;9991001;0;1954
