IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
5202201;LAGO YPACARAI;;;;;;9,17;9,170;0,000;1945-00;0;;;United States Of America;1030;1945-00;4,12;0;  Unknown;9991001;;3,506;235;Wolverine Motor Works Inc. - Galveston, Tx;6;Wolverine;;355;4;Oil;2;;Paraguay;39,50;0,00;0,00;2,50;Yes, But Type Not Known;Not Applicable;0;Lineas Panchita G SA;1704507;275;;0,000;2016-10-21;;55,020;;Lineas Panchita G SA;1704507;1943-00;Oil Engine(s), Direct Drive;0;Lineas Panchita G SA;1704507;0;;;0;9;Container Ship (Fully Cellular);;Kane;USA095017;Lineas Panchita G SA;1704507;In Service/Commission;Lineas Panchita G SA;1704507;0;1945
5202213;LAGO YPOA;;;;;;12,01;12,040;12,010;1961-10;0;ZPKP;;Spain;1372;1961-10;3,89;0;  Unknown;9991001;;3,144;320;Motoren Werke Mannheim AG (MWM) - West Germany;6;MWM;TBRH348SU;480;4;Oil;1;;Paraguay;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Mercosur Naviera SA;5726436;1145;;0,000;2018-10-12;;73,820;755630162;Mercosur Naviera SA;5726436;1958-07;Oil Engine(s), Direct Drive;34;Merco Fluvial SA;1704701;0;;;0;12;Container Ship (Fully Cellular);Containership-Small Feeder;Ruiz De Velasco;SPN020022;Mercosur Naviera SA;5726436;In Service/Commission;  Unknown;9991001;100;1961
5262500;OLIMPO;;;;;;12,01;12,040;12,010;1961-10;0;ZPKN;;Spain;1023;1961-10;3,92;0;  Unknown;9991001;;2,509;320;Motoren Werke Mannheim AG (MWM) - West Germany;6;MWM;;480;4;Oil;1;;Paraguay;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Lineas Panchita G SA;1704507;1071;;0,000;2018-01-25;;73,820;;Lineas Panchita G SA;1704507;1958-07;Oil Engine(s), Direct Drive;0;Lineas Panchita G SA;1704507;0;;;0;0;Container Ship (Fully Cellular);;Ruiz De Velasco;SPN020022;Lineas Panchita G SA;1704507;In Service/Commission;  Unknown;9991001;0;1961
6819673;AKA I;;;;;;11,61;11,640;11,610;1968-12;0;HP9310;;Spain;2006;1977-00;5,21;0;  Unknown;9991001;;4,446;400;Hijos de J Barreras SA - Spain;6;Deutz;RBV6M358;580;4;Oil;1;300;Panama;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;1298;;0,000;2017-04-14;;79,410;357635000;Bellini Navigation Co Ltd;1674011;1966-01;Oil Engine(s), Direct Drive;0;Bellini Navigation Co Ltd;1674011;0;;;0;11,75;Container Ship (Fully Cellular);Containership-Small Feeder;Basse-Sambre-Corcho;SPN039021;Bellini Navigation Co Ltd;1674011;In Service/Commission;  Unknown;9991001;73;1968
7014658;MARGARITA I;;;;;;13,01;13,210;13,010;1970-03;0;HP8226;;Netherlands;1150;1970-00;5,69;0;  Unknown;9991001;;4,493;360;Motoren Werke Mannheim AG (MWM) - West Germany;6;MWM;TBRHS345SU;450;4;Oil;1;500;Panama;218,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;1184;;0,000;2019-02-11;;73,870;351595000;Margarita Cargo Line;1774237;1967-01;Oil Engine(s), Geared Drive;0;Margarita Cargo Line;1774237;0;1993-12-01;$635000;0;13,5;Container Ship (Fully Cellular);Containership-Small Feeder;Werf Gebr. Deest Nv;NTH078022;Margarita Cargo Line;1774237;In Service/Commission;  Unknown;9991001;110;1970
7015925;DINA;;;;;;13,71;13,750;13,710;1970-06;0;3ETI9;;Netherlands;2181;1970-06;6,05;0;  Unknown;9991001;;4,712;410;Stork-Werkspoor Diesel BV - Netherlands;6;Werkspoor;6TM410;470;4;Oil;1;515;Panama;39,50;191,00;0,00;10,50;Distillate Fuel;Residual Fuel;0;  Unknown;9991001;2188;;0,000;2016-10-19;;85,320;357487000;Brandao Ramos AV;1612900;1967-10;Oil Engine(s), Geared Drive;33;Mar-Whirry Marine Corp;1614676;0;;;0;15;Container Ship (Fully Cellular);Containership-Small Feeder;Zaanlandse;NTH092015;Brandao Ramos AV;1612900;In Service/Commission;  Unknown;9991001;124;1970
7022239;FILIPPOS;;;;;;13,71;13,800;13,710;1970-09;0;ZPEW;;Netherlands;2181;1970-09;6,05;0;  Unknown;9991001;;4,704;410;Stork-Werkspoor Diesel BV - Netherlands;6;Werkspoor;6TM410;470;4;Oil;1;515;Paraguay;39,50;191,00;0,00;10,50;Distillate Fuel;Residual Fuel;0;  Unknown;9991001;823;;0,000;2016-10-19;;85,320;;Rptd Sold Undisclosed Interest;9991942;1968-01;Oil Engine(s), Geared Drive;33;Rptd Sold Undisclosed Interest;9991942;0;;;0;15;Container Ship (Fully Cellular);Containership-Small Feeder;Vuijk Scheepswerven Nv;NTH087048;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;124;1970
7024457;NIAGA BAHARI;;;;;;14,51;14,560;14,510;1971-05;0;YHTG;KI;Spain;3261;1971-05;7,4;0;  Unknown;9991001;;5,017;390;Naval-Stork-Werkspoor SA - Spain;8;Werkspoor;TMABS398;680;4;Oil;1;;Indonesia;170,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Pelayaran Niaga Sukses;5636092;2175;1969-09;0,000;2017-03-21;1970-06;88,220;525005093;Pelayaran Niaga Sukses;5636092;1969-06;Oil Engine(s), Direct Drive;20;Pelayaran Niaga Sukses;5636092;0;;;0;12;Container Ship (Fully Cellular);Containership-Small Feeder;Construcciones Asts SA - Meira;SPN008057;Pelayaran Niaga Sukses;5636092;In Service/Commission;Pelayaran Niaga Sukses;5636092;150;1971
7027722;HALCON DEL MAR;;;;;;13,70;13,800;13,700;1970-11;0;;;Netherlands;2210;1986-02;6,05;0;  Unknown;9991001;;4,706;230;General Motors-Detroit Diesel Allison Divn - USA;16;EMD (Electro-Motive);16-645-F7B;254;2;Oil;1;;Unknown;39,50;191,00;0,00;10,50;Distillate Fuel;Residual Fuel;0;King Ocean Services Ltd;1313904;1621;;0,000;2018-06-27;;85,320;;King Ocean Services;1185411;1968-02;Oil Engine(s), Direct Drive;33;Aquilla Shipping Co Inc;1608951;0;;;0;15,5;Container Ship (Fully Cellular);Containership-Small Feeder;Vuijk Scheepswerven Nv;NTH087048;Aquilla Shipping Co Inc;1608951;In Service/Commission;  Unknown;9991001;124;1970
7031565;POLA BAY;;;;;;15,00;15,040;15,000;1970-07;0;DUEK2;;Japan;4383;1970-07;6,1;0;  Unknown;9991001;;5,906;470;Nippon Hatsudoki - Japan;6;Nippon Hatsudoki;HS6NV47F;740;4;Oil;1;;Philippines;340,50;0,00;0,00;8,00;Yes, But Type Not Known;Not Applicable;0;Oceanic Container Lines Inc;1944621;2477;1970-03;0,000;2016-10-19;1970-04;94,700;;Oceanic Container Lines Inc;1944621;1967-10;Oil Engine(s), Direct Drive;0;Oceanic Container Lines Inc;1944621;0;;;0;11,25;Container Ship (Fully Cellular);Containership-Small Feeder;Tsuneishi Shbldg - Fkym - earl;JPN192014;Oceanic Container Lines Inc;1944621;In Service/Commission;Oceanic Container Lines Inc;1944621;171;1970
