IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
5022302;HYBUR STAR;;;;;;10,25;10,440;10,250;1962-01;0;HO2765;;Netherlands;1577;1962-01;6,02;0;  Unknown;9991001;;4,725;400;Kloeckner-Humboldt-Deutz AG - West Germany;6;Deutz;SBV6M358;580;4;Oil;1;320;Panama;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;1126;1961-09;0,000;2016-05-27;1961-12;74,120;;St Maarten Reefers;1182946;1960-01;Oil Engine(s), Direct Drive;0;St Maarten Reefers;1182946;0;;;0;11,00;Refrigerated Cargo Ship;;Nieuwe Noord Nederland Nv;NTH060024;St Maarten Reefers;1182946;In Service/Commission;  Unknown;9991001;0;1962
5099446;SUNG JIN NO. 777;;;;;;9,00;9,050;9,000;1962-01;0;;;Japan;375;1962-01;4,3;0;  Unknown;9991001;;0,000;420;Akasaka Tekkosho KK (Akasaka Diesel Ltd) - Japan;6;Akasaka;UZ6SS;600;4;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;449;;0,000;2016-05-27;1961-12;56,620;;Rptd Sold Undisclosed Interest;9991942;1960-01;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;12,25;Refrigerated Cargo Ship;;Kanasashi Zosen - Shizuoka;JPN013012;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1962
5101990;KARINA;;;;;;9,50;9,530;9,500;1962-00;0;;;France;944;1962-01;4,09;0;  Unknown;9991001;;3,969;320;Kloeckner-Humboldt-Deutz AG - West Germany;8;Deutz;RBV8M545;450;4;Oil;1;380;Unknown;188,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;490;1961-06;0,000;2012-08-01;;66,550;;Rptd Sold Undisclosed Interest;9991942;1960-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;10,50;Refrigerated Cargo Ship;;Dubigeon Nantes;FRA003017;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1962
5152822;NIGERIAN PROGRESS;;;;;;12,60;12,650;12,600;1961-07;0;H9GY;;Japan;2430;1961-07;6,3;0;  Unknown;9991001;;5,514;420;Mitsui Shipbuilding & Engineering C Ltd - Japan;6;B&W;6-42VTBF-90;900;2;Oil;1;;Panama;500,00;0,00;0,00;9,50;Distillate Fuel;Not Applicable;0;  Unknown;9991001;1682;;0,000;2016-09-14;1961-04;82,710;;Intercontinental Triumph;1517954;1958-01;Oil Engine(s), Direct Drive;0;Intercontinental Triumph;1517954;0;;;0;13,00;Refrigerated Cargo Ship;;Hitachi Zosen - Mukaishima;JPN007102;Intercontinental Triumph;1517954;In Service/Commission;  Unknown;9991001;0;1961
5195379;NADEZHADA;;;;;;11,82;11,870;11,820;1960-00;0;HP8244;;Japan;1636;1960-00;5,31;0;  Unknown;9991001;;4,852;470;Akasaka Tekkosho KK (Akasaka Diesel Ltd) - Japan;6;Akasaka;KD6SS;670;4;Oil;1;;Panama;494,00;0,00;0,00;6,50;Yes, But Type Not Known;Not Applicable;0;Doo Nam;1672770;1324;;0,000;2011-10-20;;72,700;355607000;Doo Nam;1672770;1958-00;Oil Engine(s), Direct Drive;0;Apex Shipping International;1675709;0;;;0;11,50;Refrigerated Cargo Ship;;Usuki Iron Works - Saiki;JPN038019;Doo Nam;1672770;In Service/Commission;  Unknown;9991001;0;1960
5230117;MAYA;;;;;;11,18;11,230;11,180;1962-06;0;DUA2437;;France;1614;1962-06;7,9;0;  Unknown;9991001;;4,801;0;Niigata Engineering Co Ltd - Japan;6;Niigata;;0;4;Oil;1;;Philippines;319,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;4281;1961-01;0,000;2011-10-20;1961-11;79,480;;Winnerworld Phils;5137402;1960-03;Oil Engine(s), Direct Drive;0;Winnerworld Phils;5137402;0;;;0;13,00;Refrigerated Cargo Ship;;S.C.A.R.;FRA018015;Winnerworld Phils;5137402;In Service/Commission;  Unknown;9991001;0;1962
5296795;BLISSFUL REEFER;;;;;154;12,30;12,480;12,300;1962-00;0;;;Netherlands;1722;1962-00;7,85;0;Golden Arrow Marine SA;1762971;;4,811;400;Kloeckner-Humboldt-Deutz AG - West Germany;8;Deutz;RBV8M358;580;4;Oil;1;300;Unknown;569,00;0,00;0,00;0,00;Residual Fuel;Not Applicable;0;Chainavee Coldstorage Co Ltd;1114245;1289;;0,000;2018-10-31;;83,550;;Chainavee Coldstorage Co Ltd;1114245;1959-01;Oil Engine(s), Direct Drive;0;Brilliant Reefer Line SA;1214939;0;;;0;14,00;Refrigerated Cargo Ship;;Gusto Werf NV - Schiedam;NTH445023;Golden Arrow Marine SA;1762971;In Service/Commission;Golden Arrow Marine SA;1762971;0;1962
5313177;JOLI JOLI;;;;;;9,30;9,350;9,300;1958-06;0;HP6269;;Portugal;932;1958-06;5,95;0;  Unknown;9991001;;3,874;330;NV Werkspoor - Netherlands;6;Werkspoor;;600;4;Oil;1;;Panama;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;499;;0,000;2012-07-25;1958-02;61,780;;Laurence Naviera;1345975;1956-06;Oil Engine(s), Direct Drive;0;Laurence Naviera;1345975;0;;;0;0,00;Refrigerated Cargo Ship;;Mondego;PTG002019;Laurence Naviera;1345975;In Service/Commission;Laurence Naviera;1345975;0;1958
5317915;DOLLY 783;;;;;;11,51;11,590;11,510;1961-11;0;DUM3141;;Japan;1392;1961-11;5,31;0;Not Applicable;9984588;;4,700;470;Akasaka Tekkosho KK (Akasaka Diesel Ltd) - Japan;6;Akasaka;KD6SS;670;4;Oil;1;;Philippines;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;RD Corp;5292863;984;;0,000;2014-02-04;1961-10;76,100;;RD Fishing Industry Inc;5112602;1959-11;Oil Engine(s), Direct Drive;0;RD Fishing Industry Inc;5112602;0;;;0;12,50;Refrigerated Cargo Ship;;Kanasashi Zosen - Shizuoka;JPN013012;RD Fishing Industry Inc;5112602;In Service/Commission;  Unknown;9991001;0;1961
5333294;ABBA;;;;;;8,23;8,280;8,230;1953-03;0;;;Germany, Federal Republic Of;757;1953-03;3,81;0;  Unknown;9991001;;3,658;290;Maschinenbau Kiel AG (MaK) - Kiel;8;MaK;MAU423;420;4;Oil;1;;Unknown;61,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;388;;0,000;2018-06-29;1952-12;54,440;;Marine Services & Bunkering;4185895;1951-00;Oil Engine(s), Direct Drive;0;Perla SH;4185904;0;;;0;11,00;Refrigerated Cargo Ship;;Sielaff;GFR009026;Marine Services & Bunkering;4185895;In Service/Commission;Marine Services & Bunkering;4185895;0;1953
