IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
5159832;TELUK TOMINI;;;;;;15,19;15,240;15,190;1942-12;0;PKIM;;United States Of America;4064;1942-12;0;0;  Unknown;9991001;;5,030;216;General Motors Corp - USA;12;EMD (Electro-Motive);12-567-BC;254;2;Oil;2;;Indonesia;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Indonesia Govt;Indonesia;3397;1942-09;0,000;2019-01-24;1942-11;99,830;;Indonesia Govt Navy;0198904;1940-12;Oil Engine(s), Direct Drive;0;Indonesia Govt Navy;0198904;0;;;0;0,00;Landing Craft;;United States Navy Charle;USA169053;Indonesia Govt Navy;0198904;In Service/Commission;  Unknown;9991001;0;1942
5159870;TELUK RATAI;;;;;;15,24;15,550;15,240;1944-06;0;PKID;;United States Of America;0;1944-06;7,65;0;  Unknown;9991001;;3,372;216;General Motors Corp - USA;12;EMD (Electro-Motive);12-567-BC;254;2;Oil;2;;Indonesia;508,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Indonesia Govt;Indonesia;3159;1944-04;0,000;2019-01-24;1944-06;99,900;;Indonesia Govt Navy;0198904;1942-06;Oil Engine(s), Geared Drive;0;Indonesia Govt Navy;0198904;0;;;0;10,25;Landing Craft;;American Bridge Ambridge;USA175034;Indonesia Govt Navy;0198904;In Service/Commission;  Unknown;9991001;0;1944
5159894;BAHAMA WAVE;;;;;;10,34;10,390;10,340;1957-00;0;;;United States Of America;406;1957-00;2,82;0;  Unknown;9991001;;1,977;159;Caterpillar Tractor Co - USA;8;Caterpillar;D379TA;203;4;Oil;2;;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;343;;0,000;2011-12-21;;38,140;;Rptd Sold Undisclosed Interest;9991942;1955-00;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;10,00;Landing Craft;;Dade;USA138014;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1957
5200148;LCT-1346;;;;;;11,59;11,840;11,590;1945-00;0;;;United Kingdom;0;1945-00;1,66;0;  Unknown;9991001;;1,077;178;Davey, Paxman & Co. Ltd. - Colchester;12;Paxman;12TPM;197;4;Oil;2;;Qatar;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Qatar Govt;Qatar;404;;0,000;2012-07-20;;56,550;;Qatar Govt;0098581;1941-01;Oil Engine(s), Geared Drive;0;Qatar Govt Comms & Trans;0595121;0;;;0;0,00;Landing Craft;;Motherwell Bridge;GBI249047;Qatar Govt Comms & Trans;0595121;In Service/Commission;Qatar Govt Comms & Trans;0595121;0;1945
6409686;ORLIK;;;;;;10,48;11,740;10,480;1964-06;0;ZAD1F;;Sweden;2235;1964-06;7,57;0;  Unknown;9991001;;5,112;320;Motoren Werke Mannheim AG (MWM) - West Germany;8;MWM;;480;4;Oil;1;;Albania;132,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;1498;1963-09;0,000;2018-04-03;1964-02;75,570;;Bayter Compania Naviera SA;1784692;1963-06;Oil Engine(s), Direct Drive;0;Bayter Compania Naviera SA;1784692;0;;;0;12,00;Ro-Ro Cargo Ship;Ro-ro cargo <=499 LM;Ekensbergs;SWD002016;Bayter Compania Naviera SA;1784692;In Service/Commission;  Unknown;9991001;0;1964
6423814;FLYING SEA;;;;;;9,20;9,220;9,200;1964-12;0;HO2857;;Netherlands;415;1964-12;6,76;0;  Unknown;9991001;;0,000;330;NV Werkspoor - Netherlands;8;Werkspoor;;600;4;Oil;1;;Panama;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;632;1964-03;0,000;2018-04-03;1964-10;50,730;352117000;Dubai South Beach Investments;1993876;1963-09;Oil Engine(s), Geared Drive;0;Dubai South Beach Investments;1993876;0;;;0;0,00;Ro-Ro Cargo Ship;Ro-ro cargo <=499 LM;Pot;NTH062011;Dubai South Beach Investments;1993876;In Service/Commission;  Unknown;9991001;0;1964
6500832;MELINKA;;;;;;10,39;10,440;10,390;1964-00;0;CB2808;;United States Of America;488;1964-06;3,92;0;  Unknown;9991001;;2,286;137;Caterpillar Inc - USA;8;Caterpillar;3408TA;152;4;Oil;1;1800;Chile;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Transbordadora Austral Broom;Chile;572;;0,000;2017-08-18;;44,200;725000251;Transbordadora Austral Broom;0700807;1962-00;Oil Engine(s), Direct Drive;0;Transbordadora Austral Broom;0700807;0;;;0;10,30;Ro-Ro Cargo Ship;Ro-ro cargo <=499 LM;Dade;USA138014;Transbordadora Austral Broom;0700807;In Service/Commission;Transbordadora Austral Broom;0700807;0;1964
6517574;SEAHORSE;;;;;;10,98;11,030;10,980;1963-00;0;WDG4971;;United States Of America;230;1963-00;2,16;549;  Unknown;9991001;;0,000;137;Caterpillar Tractor Co - USA;6;Caterpillar;D343TA;165;4;Oil;2;;United States Of America;0,00;0,00;0,00;0,50;Distillate Fuel;Not Applicable;0;Naknek Native Village Council;United States Of America;171;;0,000;2017-01-27;;35,290;367541950;Naknek Native Village Council;5937766;1961-00;Oil Engine(s), Direct Drive;0;Naknek Native Village Council;5937766;0;;;0;8,50;Landing Craft;;Pacific Coast;USA149012;Naknek Native Village Council;5937766;In Service/Commission;Naknek Native Village Council;5937766;0;1963
6518528;CARIBE STAR I;;;;;;12,81;13,010;12,810;1965-00;0;3ELJ8;;United States Of America;1223;1965-04;4,4;0;  Unknown;9991001;;3,301;159;Caterpillar Tractor Co - USA;12;Caterpillar;D398TA;203;4;Oil;2;;Panama;480,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;837;1964-09;0,000;2016-05-27;;70,010;372964000;Oceanic Cargo Petrolium Co;5737811;1962-01;Oil Engine(s), Geared Drive;0;Oceanic Cargo Petrolium Co;5737811;0;;;0;10,00;Landing Craft;;Bellinger Shipyards;USA037049;Oceanic Cargo Petrolium Co;5737811;In Service/Commission;Oceanic Cargo Petrolium Co;5737811;0;1965
6520129;DINA I;;;;;;7,32;7,370;7,320;1965-06;0;;;United States Of America;274;1965-06;2,85;0;  Unknown;9991001;;1,832;121;Caterpillar Tractor Co - USA;6;Caterpillar;D334;152;4;Oil;2;1800;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;248;;0,000;2012-08-06;;40,310;;Rptd Sold Undisclosed Interest;9991942;1963-06;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Landing Craft;;Jakobson;USA011011;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1965
