IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
4902921;TITAN;;;;;;11,43;0,000;11,430;1968-05;11;IIJY2;RI;United Kingdom;309;2002-08;6,02;0;Norbulk Enterprise Ship Mgmt;5027830;20190226;4,215;222;Lister Blackstone Marine Ltd. - Dursley;8;Blackstone;ERS8M;292;4;Oil;4;750;Italy;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;1260;1966-11;0,000;2018-07-19;1967-09;60,376;247244300;Norbulk Enterprise Ship Mgmt;5027830;1964-09;Oil Engine(s), Geared Drive;0;Titan Srl;5331433;0;;;0;10,00;Passenger Ship;;Brooke Marine;GBI013022;Norbulk Enterprise Ship Mgmt;5027830;In Service/Commission;Norbulk Enterprise Ship Mgmt;5027830;0;1968
5001358;ABITIBI;;;;;;8,80;0,000;8,800;1938-08;0;VCBK;;Canada;0;1938-08;3,5;0;  Unknown;9991001;;0,000;250;Atlas-Diesel AB - Sweden;5;Polar;M45I;420;2;Oil;2;;Canada;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;507;;0,000;2018-11-16;;42,700;;Rptd Sold Undisclosed Interest;9991942;1936-08;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;12,00;Passenger Ship;;Canadian Vickers Ltd;CAN112052;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1938
5012955;ALTINKUM-74;;;;;;7,95;7,950;0,000;1929-04;0;TCEV;;United Kingdom;0;1929-04;2,93;0;  Unknown;9991001;;2,490;0;Fairfield Shipbuilding & Engineerin Co Ltd - United Kingdom;;;;0;;Reciprocatng;2;;Turkey;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Aksoy Group;2011221;415;;0,000;2014-08-01;;47,000;;Ufuk Denizcilik Sanayi;1330726;1927-04;Steam Recip(s), Direct Drive;0;Ufuk Denizcilik Sanayi;1330726;0;;;0;0,00;Passenger Ship;;Fairfield Shipbuilding & Eng;GBI033046;Ufuk Denizcilik Sanayi;1330726;In Service/Commission;  Unknown;9991001;0;1929
5013870;KROL ERYK I;;;;;;6,30;6,350;6,300;1960-00;0;SPG2260;;Denmark;29;1968-00;3,15;0;  Unknown;9991001;;2,260;128;Maschinenbau Augsburg-Nuernberg (MAN) - Augsburg;6;MAN;D2866LE;155;4;Oil;1;;Poland;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;102;;0,000;2018-06-18;;26,200;261013010;Darlowska Zegluga SC;5688657;1958-00;Oil Engine(s), Geared Drive;0;Darlowska Zegluga SC;5688657;0;;;0;0,00;Passenger Ship;;Nordsovaerftet A/S;DEN021015;Darlowska Zegluga SC;5688657;In Service/Commission;  Unknown;9991001;0;1960
5015311;HAUKE HAIEN;;;;;;6,01;6,610;6,010;1960-10;0;DJCN;VL;Germany, Federal Republic Of;22;1960-10;2,21;129;  Unknown;9991001;20110331;1,391;142;Motoren Werke Mannheim AG (MWM) - Mannheim;8;Deutz;SBA8M816;160;4;Oil;1;1500;Germany;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;152;1960-06;0,000;2017-08-07;1960-09;33,610;211298490;Diedrichsen B;1274591;1958-10;Oil Engine(s), Geared Drive;0;Diedrichsen B;1274591;0;;;0;11,00;Passenger Ship;;Sielaff;GFR009026;Diedrichsen B;1274591;In Service/Commission;Diedrichsen B;1274591;0;1960
5018612;STORTEMELK;;;;;;6,49;6,610;6,490;1961-00;0;PHTK;;Netherlands;0;1961-00;3,4;0;Rood Boven Groen;5262851;;2,550;240;Stork-Werkspoor Diesel BV - Netherlands;6;Kromhout;6FEHD240;260;4;Oil;1;;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;109;;0,000;2018-06-04;;29,400;244602000;Jonge MJ;1839722;1959-00;Sail, Aux Oil Eng(s) Direct-Dr;0;Jonge MJ;1839722;0;;;0;0,00;Passenger Ship;;Hijlkema & Zonen;NTH049014;Jonge MJ;1839722;In Service/Commission;Rood Boven Groen;5262851;0;1961
5019800;ANTIGUA;;;;;;7,01;7,120;7,010;1957-11;16;PCRA;;United Kingdom;0;1957-11;4,2;0;Rood Boven Groen;5262851;;2,880;140;Cummins Engine Co Inc - USA;6;Cummins;NTA-855-M;152;4;Oil;1;;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Tallship Artemis BV;5215703;212;1957-01;0,000;2018-05-04;1957-08;49,500;246337000;Rood Boven Groen;5262851;1956-06;Oil Engine(s), Geared Drive;0;Tallship Artemis BV;5215703;0;;;0;0,00;Passenger/Cruise;;Scarr Hessle;GBI032029;Rood Boven Groen;5262851;In Service/Commission;Rood Boven Groen;5262851;0;1957
5034927;BALMORAL;;;;;;9,15;9,760;9,150;1949-11;0;MDMZ;;United Kingdom;78;1949-11;3,38;0;Seaspan Shipping Ltd-GBI;5530624;;2,020;240;A/S Grenaa Motorfabrik - Denmark;6;Grenaa;6F24;300;4;Oil;2;500;United Kingdom;23,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;MV Balmoral Fund Ltd;6017337;735;;0,000;2018-09-14;;62,030;235111617;White Funnel Ltd;6017341;1946-07;Oil Engine(s), Geared Drive;0;MV Balmoral Fund Ltd;6017337;0;;;0;12,00;Passenger Ship;;Thornycroft JI & Co Ltd;GBI087050;White Funnel Ltd;6017341;In Service/Commission;Seaspan Shipping Ltd-GBI;5530624;0;1949
5040586;ERIN MARIE;;;;;;6,48;6,510;6,480;1954-06;0;;;Australia;0;1954-06;3,2;0;  Unknown;9991001;;2,941;0;New South Wales Govt Engineering & Shipbuilding Undertaking - Australia;;;;0;;Reciprocatng;1;;Unknown;30,00;0,00;0,00;0,00;Residual Fuel;Not Applicable;0;  Unknown;9991001;146;1952-02;0,000;2016-08-22;1953-08;32,010;;Wright AR;1276292;1950-10;Steam Recip(s), Direct Drive;0;Wright AR;1276292;0;;;0;9,00;Passenger Ship;;New South Wales Govt Eng;AST009011;Wright AR;1276292;In Service/Commission;  Unknown;9991001;0;1954
5041970;BERGAMA;;;;;;8,03;8,080;8,030;1951-07;0;TC4904;;Germany, Federal Republic Of;0;1951-07;3,15;0;  Unknown;9991001;;2,159;290;Halberg Maschinenbau u. Giesserei - Ludwigshafen;4;Sulzer;4TD29;500;2;Oil;2;;Turkey;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Turkiye Denizcilik Isletmeleri;1111957;244;;0,000;2014-04-07;1951-03;44,350;;TDI Izmir Isletmesi Mudurlugu;0099678;1949-07;Oil Engine(s), Direct Drive;0;TDI Izmir Isletmesi Mudurlugu;0099678;0;;;0;12,00;Passenger Ship;;Atlas;GFR002026;TDI Izmir Isletmesi Mudurlugu;0099678;In Service/Commission;  Unknown;9991001;0;1951
5044893;BIRGER JARL;;;;;;14,20;14,280;14,200;1953-06;159;SIAU;LR;Sweden;864;1953-06;7,78;3250;  Unknown;9991001;20190902;4,903;280;MAN B&W Diesel A/S - Denmark;12;Alpha;12V28/32A;320;4;Oil;1;750;Sweden;189,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;3564;;0,000;2018-10-08;;92,660;265878000;Karlsson AB;6031415;1950-06;Oil Engine(s), Geared Drive;0;Karlsson AB;6031415;0;;;0;15,00;Passenger Ship;;Finnboda Varf;SWD006016;Karlsson AB;6031415;In Service/Commission;Karlsson AB;6031415;0;1953
5047481;BOHUSLAN;;;;;;7,22;7,270;7,220;1913-00;0;SDKM;;Sweden;56;1913-00;0;0;  Unknown;9991001;;2,744;0;Eriksbergs Mekaniska Verkstads AB - Sweden;;;;0;;Reciprocatng;1;;Sweden;15,00;0,00;0,00;6,00;Residual Fuel;Not Applicable;0;Angbaten Ekonomisk Forening;0322211;304;;0,000;2015-01-23;;43,130;265596080;Angbaten Ekonomisk Forening;0322211;1910-01;Steam Recip(s), Direct Drive;0;Angbaten Ekonomisk Forening;0322211;0;;;0;12,00;Passenger Ship;;Eriksbergs;SWD004016;Angbaten Ekonomisk Forening;0322211;In Service/Commission;  Unknown;9991001;0;1913
5049336;JOLLY ROGER II;;;;;;6,71;6,810;6,710;1959-04;0;P3NR6;;United Kingdom;0;1959-04;3,2;0;  Unknown;9991001;;2,744;260;Ruston & Hornsby Ltd. - Lincoln;6;Ruston;;368;4;Oil;1;;Cyprus;23,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;121;1958-08;0,000;2013-08-01;1959-01;27,230;;Atka Shipping Co Ltd;5504897;1957-12;Oil Engine(s), Geared Drive;0;Atka Shipping Co Ltd;5504897;0;;;0;10,00;Passenger Ship;;Richards Iron Works Ltd;GBI074021;Atka Shipping Co Ltd;5504897;In Service/Commission;  Unknown;9991001;0;1959
5056066;QUEENIE;;;;;;8,64;8,690;8,640;1960-00;0;ICKU;;Germany, Federal Republic Of;380;1967-00;2,7;0;  Unknown;9991001;;2,318;220;Kloeckner-Humboldt-Deutz AG - West Germany;6;Deutz;RA6M528;280;4;Oil;1;530;Italy;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;487;;0,000;2017-08-15;;45,520;;Baia Azzurra Vacanze;1553682;1958-00;Oil Engine(s), Geared Drive;0;Baia Azzurra Vacanze;1553682;0;;;0;8,50;Passenger Ship;;Sietas Schiffswerft;GFR045121;Baia Azzurra Vacanze;1553682;Laid-Up;  Unknown;9991001;0;1960
5059147;CAMIALTI 2;;;;;;6,20;6,610;6,200;1961-00;0;;;Turkey;0;1961-00;3;0;  Unknown;9991001;;1,801;0;Arnhemsche Scheepsbouw Mij NV - Arnhem;;;;0;;Reciprocatng;1;;Turkey;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;162;;0,000;2014-04-07;;32,670;;TGS;1442825;1959-00;Steam Recip(s), Direct Drive;0;TGS;1442825;0;;;0;8,00;Passenger Ship;;Denizcilik Camialti;TRK003015;TGS;1442825;In Service/Commission;  Unknown;9991001;0;1961
5068875;FRONTENAC II;;;;;;11,27;11,610;11,270;1962-05;0;VDLK;;Canada;183;1962-05;4,42;0;  Unknown;9991001;;2,706;240;Alpha Diesel A/S - Denmark;6;Alpha;406-24VO;400;2;Oil;2;400;Canada;17,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Canada Govt;0350571;666;;0,000;2011-06-16;;55,050;316015121;Canada Govt Trans Ontario;0350641;1960-05;Oil Engine(s), Geared Drive;0;Canada Govt Trans Ontario;0350641;0;;;0;10,00;Passenger Ship;;Saint-Laurent Chantier Mme;CAN022044;Canada Govt Trans Ontario;0350641;In Service/Commission;  Unknown;9991001;0;1962
5069520;CHEPAT;;;;;;6,41;6,710;6,410;1962-02;0;;;Malaya;0;1962-02;2,98;0;  Unknown;9991001;;1,683;130;Rolls-Royce Ltd. - Shrewsbury;8;Rolls Royce;C8TFLM;152;4;Oil;2;1800;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Tian San Shipping Pte Ltd;1099874;178;1961-06;0,000;2012-08-01;1961-08;29,820;;Tian San Shipping Pte Ltd;1099874;1961-03;Oil Engine(s), Geared Drive;0;Tian San Shipping Pte Ltd;1099874;0;;;0;0,00;Passenger Ship;;Straits Steamship Co Ltd - MLY;MLY001020;Tian San Shipping Pte Ltd;1099874;In Service/Commission;  Unknown;9991001;0;1962
5071561;EMPIRE SANDY;;;;;;9,12;9,170;9,120;1943-07;0;VCTG;;United Kingdom;0;1943-07;4,88;0;  Unknown;9991001;;4,566;108;General Motors-Detroit Diesel Allison Divn - USA;12;G.M. (Detroit Diesel);12V-71;127;2;Oil;1;;Canada;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;338;;0,000;2017-08-14;;43,620;316225000;Empire Sandy;1041038;1941-07;Sail, Aux Oil Eng(s) Direct-Dr;0;Empire Sandy;1041038;0;;;0;0,00;Passenger Ship;;Clelands Successors;GBI020021;Empire Sandy;1041038;In Service/Commission;  Unknown;9991001;0;1943
5085988;OSTARA;;;;;;7,17;7,290;7,170;1961-08;0;;;United Kingdom;0;1961-08;3,36;0;  Unknown;9991001;;2,998;368;Crossley Bros. Ltd. - Manchester;4;Crossley;CGL4;483;2;Oil;1;;Netherlands;15,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Spido BV;1973357;146;;0,000;2015-05-05;;26,780;244710137;Spido BV;1973357;1959-08;Oil Engine(s), Geared Drive;0;Spido BV;1973357;0;;;0;10,75;Passenger Ship;;Pollock Faversham;GBI072018;Spido BV;1973357;In Service/Commission;  Unknown;9991001;0;1961
