IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
5016626;ZENA;;;;;;7,60;7,680;7,600;1962-00;0;;;Denmark;457;1962-06;3,2;0;  Unknown;9991001;;2,950;240;Alpha Diesel A/S - Denmark;5;Alpha;405-24VO;400;2;Oil;1;400;Unknown;18,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;299;;0,000;2012-08-01;;43,920;;Abu Bakr A;1541177;1961-00;Oil Engine(s), Direct Drive;0;Abu Bakr A;1541177;0;;;0;10,00;Livestock Carrier;;Nordsovaerftet A/S;DEN021015;Abu Bakr A;1541177;In Service/Commission;Abu Bakr A;1541177;0;1962
5073612;CAPITAINE II;;;;;;11,74;11,840;11,740;1960-03;0;;;Netherlands;1928;1960-03;7,19;0;  Unknown;9991001;;4,731;400;Maschinenbau Augsburg-Nuernberg (MAN) - Augsburg;8;MAN;G8V40/60;600;4;Oil;1;;Unknown;121,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;1200;;0,000;2014-01-27;;81,290;;Kalawi R;1889931;1957-07;Oil Engine(s), Direct Drive;0;Kalawi R;1889931;0;;;0;12,00;Livestock Carrier;;Arnhemsche Scheepsbouw Mij NV;NTH005025;Kalawi R;1889931;In Service/Commission;  Unknown;9991001;0;1960
5115020;GAMMA LIVESTOCK 12;;;;;;12,00;12,040;12,000;1961-07;0;YKMF;;Germany, Federal Republic Of;874;1978-00;6,89;0;Union Commercial Co-SYR;1475691;;4,360;400;Kloeckner-Humboldt-Deutz AG - West Germany;8;Deutz;RBV8M358;580;4;Oil;1;300;Syria;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Union Commercial Co-SYR;1475691;1639;;0,000;2016-05-27;;83,290;468279000;Union Commercial Co-SYR;1475691;1958-03;Oil Engine(s), Direct Drive;0;Gamma Shipping;1707391;0;;;0;12,00;Livestock Carrier;;Schichau F GmbH;GFR041050;Union Commercial Co-SYR;1475691;In Casualty Or Repairing;Union Commercial Co-SYR;1475691;0;1961
5171983;LADY JILLIAN;;;;;;7,45;7,950;7,450;1948-00;0;VLBP;;Australia;250;1948-00;3;0;  Unknown;9991001;;2,788;159;Cummins Engine Co Inc - USA;6;Cummins;KT-19-M;159;4;Oil;1;1800;Australia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;225;;0,000;2018-11-20;;38,260;;Dick W;5716029;1946-00;Sail, Aux Oil Eng(s), Geared;0;Dick W;5716029;0;;;0;9,00;Livestock Carrier;;Crouch RM & Co;AST032047;Dick W;5716029;In Service/Commission;  Unknown;9991001;0;1948
6421581;AL HASAN;;;;;;10,51;10,550;10,510;1964-11;0;5IM902;;Germany, Federal Republic Of;1200;1964-11;5,8;0;  Unknown;9991001;;3,807;320;Maschinenbau Kiel AG (MaK) - Kiel;6;MaK;6M451AK;450;4;Oil;1;375;Tanzania (Zanzibar);51,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;943;1964-06;0,000;2018-10-31;1964-08;66,300;677080200;Rptd Sold Undisclosed Interest;9991942;1963-09;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;11,50;Livestock Carrier;;Jadewerft;GFR084021;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1964
6422303;ALFERDAWI-1;;;;;;11,45;11,460;11,450;1964-03;0;5VEH8;OM;Germany, Federal Republic Of;2140;1964-11;6,3;0;Affera Shipping Inc;5563296;;3,541;320;Kloeckner-Humboldt-Deutz AG - West Germany;8;Deutz;RBV8M545;450;4;Oil;1;380;Togo;66,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;1446;;0,000;2018-11-20;;72,670;671781000;Affera Shipping Inc;5563296;1960-03;Oil Engine(s), Direct Drive;0;Danube Shipping Company SA;5930857;0;;;0;12,50;Livestock Carrier;;Luerssen;GFR027019;Affera Shipping Inc;5563296;In Service/Commission;Affera Shipping Inc;5563296;0;1964
6422418;KALYMNIAN EXPRESS;;;;;;12,81;12,860;12,810;1964-11;0;3EUJ7;;Australia;1029;1964-11;7,17;0;  Unknown;9991001;;4,369;500;New South Wales Govt Engineering & Shipbuilding Undertaking - Australia;5;Polar;M65T;700;2;Oil;1;;Panama;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;2137;1963-09;0,000;2018-04-03;1964-09;74,250;353513000;Lafasi Shipping Inc;5423424;1961-06;Oil Engine(s), Direct Drive;0;Lafasi Shipping Inc;5423424;0;;;0;0,00;Livestock Carrier;;New South Wales Govt Eng;AST009011;Lafasi Shipping Inc;5423424;In Service/Commission;  Unknown;9991001;0;1964
6505492;SAED I;;;;;;11,00;11,100;11,000;1964-03;0;;;Germany, Federal Republic Of;1003;1964-12;5,8;0;  Unknown;9991001;;3,556;320;Maschinenbau Kiel AG (MaK) - Kiel;8;MaK;8MU451AK;450;4;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;1045;;0,000;2018-06-28;;69,370;;Al Tawakkul Shipping Inc;5761740;1961-01;Oil Engine(s), Direct Drive;0;Al Tawakkul Shipping Inc;5761740;0;;;0;10,50;Livestock Carrier;;Schulte & Bruns;GFR044029;Al Tawakkul Shipping Inc;5761740;In Service/Commission;  Unknown;9991001;0;1964
6515409;AMAL;;;;;;10,51;10,570;10,510;1965-02;0;;;Germany, Federal Republic Of;1145;1965-06;6,56;0;  Unknown;9991001;;3,963;320;Maschinenbau Kiel AG (MaK) - Kiel;6;MaK;6MU451AK;450;4;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;1065;;0,000;2018-10-23;;66,170;;Alfawatem Shipping Co Inc;5559855;1962-02;Oil Engine(s), Direct Drive;0;Darwish IMR;5560261;0;;;0;11,50;Livestock Carrier;;Sietas Schiffswerft;GFR045121;Alfawatem Shipping Co Inc;5559855;In Service/Commission;Alfawatem Shipping Co Inc;5559855;0;1965
6518425;LADY MARIA;;;;;;11,31;11,360;11,310;1965-07;0;5IM619;DR;Germany, Federal Republic Of;1265;1965-06;6,51;0;Mina Group Shipping Ltd;5671830;;3,739;320;Kloeckner-Humboldt-Deutz AG - West Germany;8;Deutz;RBV8M545;450;4;Oil;1;380;Tanzania (Zanzibar);0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;998;;0,000;2018-12-07;;72,070;677062000;Mina Group Shipping Ltd;5671830;1964-03;Oil Engine(s), Direct Drive;0;Mary Maritime Co SA;5880942;0;;;0;11,00;Livestock Carrier;;Kroegerwerft Kg;GFR024029;Mina Group Shipping Ltd;5671830;In Service/Commission;Mina Group Shipping Ltd;5671830;0;1965
