IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
2755922;YELLOW PIKE;;;;;;5,50;0,000;5,500;1994-06;0;DUL6380;;Norway;0;1966-00;3,837;0;  Unknown;9991001;;3,188;280;Wichmann Motorfabrikk AS - Norway;;;;0;;Reciprocatng;1;;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;191;;0,000;2018-10-19;;32,670;;OS Well Boats Ltd;5089879;1958-00;Oil Engine(s), Direct Drive;0;OS Well Boats Ltd;5089879;0;;;0;0,00;Fish Carrier;;Lindstols Skips- & Batbyggeri;NOR064012;Sleneset Aqua Service AS;6046735;In Service/Commission;  Unknown;9991001;0;1955
5009673;ODDOEY;;;;;;6,68;6,710;6,680;1955-00;0;LKPP;;Netherlands;783;1973-00;6,15;1683;Vega JSC;1683173;;3,960;360;"Zavod ""Dvigatel Revolyutsii"" - Nizhniy Novgorod";;;;0;;Reciprocatng;1;;Iceland;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;499;1953-12;0,000;2017-04-19;1954-12;55,320;;Hemnestral Ltd;5699431;1960-00;Oil Engine(s), Direct Drive;0;Hemnestral Ltd;5699431;0;;;0;0,00;Fish Carrier;;Brattvag & Johansen;NOR036018;OS Well Boats Ltd;5089879;In Service/Commission;OS Well Boats Ltd;5089879;0;1960
5010517;BLUE AGAIN II;;;;;;8,41;8,510;8,410;1955-02;0;HP9450;;Germany, Federal Republic Of;610;1951-00;3,23;0;  Unknown;9991001;;3,100;285;Maschinenbau Augsburg-Nuernberg (MAN) - Augsburg;;;;0;;Reciprocatng;1;;Iceland;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;210;;0,000;2017-08-14;;35,030;;Hvalur hf;0222919;1943-01;Steam Recip(s), Direct Drive;0;Hvalur hf;0222919;0;;;0;0,00;Fish Carrier;;Tregoning;USAF92050;Ermine LLC;5936428;In Service/Commission;Ermine LLC;5936428;0;1943
5030476;BRUDANES;;;;;;6,71;6,740;6,710;1960-00;0;EI7439;;United States Of America;0;1943-00;2,04;0;  Unknown;9991001;;0,000;0;Superior Engine Co. - Springfield, Oh;;;;0;;Reciprocatng;1;;Iceland;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Vega JSC;Russia;984;;0,000;2017-01-27;;68,640;;Japan Pacific S de RL;1874418;1958-00;Oil Engine(s), Direct Drive;0;Japan Pacific S de RL;1874418;0;;;0;0,00;Fishery Patrol Vessel;;Hall Aberdeen;GBI044027;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1956
5102798;ZODIAK;;;;;;10,20;10,220;10,200;1961-07;0;UACN;;United Kingdom;0;1956-03;4,88;0;  Unknown;9991001;;4,319;0;A. Hall & Co. Ltd. - Aberdeen;;;;0;Y;Oil;2;;United States Of America;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Ermine LLC;United States Of America;106;;0,000;2016-08-04;;24,390;;Rptd Sold Undisclosed Interest;9991942;1957-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Seal Catcher;;Liaaen AM Skipsverft og MV;NOR063030;Royal Greenland AS;1897021;In Service/Commission;Besi AS;5732372;0;1960
5104368;ENGIN;;;;;;6,82;6,840;6,820;1951-00;0;TCAS4;;United States Of America;2667;1990-00;5,19;0;  Unknown;9991001;;4,846;432;Enterprise Engineering & Machinery Co - USA;;Caterpillar;;330;;Oil;1;;Trinidad & Tobago;0,00;0,00;0,00;0,00;Residual Fuel;Not Applicable;0;  Unknown;;831;1954-06;0,000;2012-08-02;1955-06;61,800;;Neil & Ram Investments Ltd;4227204;1950-02;Oil Engine(s), Geared Drive;0;Neil & Ram Investments Ltd;4227204;0;;;0;0,00;Whale Catcher;;Smith's Dock S.Bnk;GBI081051;Hvalur hf;0222919;Laid-Up;  Unknown;9991001;0;1946
5105659;ERMINE;;;;;;7,52;7,570;7,520;1943-00;0;WDI8288;;Norway;0;1962-12;2,95;0;  Unknown;9991001;;0,000;159;Caterpillar Tractor Co - USA;;;;0;Y;Oil;1;;United States Of America;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Riverine Holding LLC;United States Of America;4235;;0,000;2016-05-16;;110,270;;IRD;0207466;1949-00;Oil Engine(s), Geared Drive;0;IRD;0207466;0;;;0;0,00;Whale Catcher;;Smith's Dock S.Bnk;GBI081051;Hvalur hf;0222919;Laid-Up;  Unknown;9991001;0;1945
5110939;EXPLORER;;;;;;9,76;9,990;9,760;1956-03;0;;;United Kingdom;0;1946-09;4,91;0;  Unknown;9991001;;4,280;0;Smith's Dock Co. Ltd. - Middlesbrough;;;;0;Y;Oil;1;;United States Of America;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Barents AS;Norway;499;;0,000;2018-10-16;;47,450;;EBJ;1966355;1958-00;Oil Engine(s), Direct Drive;0;EBJ;1966355;0;;;0;0,00;Whale Catcher;;Kaldnes Mekaniske Verksted AS;NOR013025;Hvalur hf;0222919;In Service/Commission;Hvalur hf;0222919;0;1948
5116725;RIVERINE ENTERPRISE;;;;;;15,85;15,930;15,850;1960-05;0;WDH6647;;United Kingdom;0;1945-12;4,91;0;  Unknown;9991001;;4,401;0;Smith's Dock Co. Ltd. - Middlesbrough;;Waukesha;;0;4;Oil;2;;United States Of America;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Sea Lion Fisheries LLC;United States Of America;162;;0,000;2016-02-29;;24,690;;Serene Zone;1591015;1964-06;Oil Engine(s), Electric Drive;0;Serene Zone;1591015;0;;;0;0,00;Fish Factory Ship;;Maritime Shipyards Seattle;USA337021;Sea Lion Fisheries LLC;5881101;In Service/Commission;Sea Lion Fisheries LLC;5881101;0;1946
5142970;MANIITSOQ;Mitsubishi;Mitsubishi;S6R2-MPTKF;;0;9,15;9,170;9,150;1960-02;0;LAIJ;;Japan;490;1961-09;4,3;0;  Unknown;9991001;;3,350;370;Akasaka Tekkosho KK (Akasaka Diesel Ltd) - Japan;;;;0;Y;Oil;2;;United States Of America;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Warren KR;United States Of America;129;;0,000;2016-09-19;;24,450;;Rptd Sold Undisclosed Interest;9991942;1964-03;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Fish Factory Ship;;Western Boat Tacoma;USA190027;Warren KR;5942948;In Service/Commission;Warren KR;5942948;0;1939
5147487;HEMNESTRAL;;;;;;6,71;6,740;6,710;1962-00;0;ZMWX;;Japan;568;1960-00;4,25;0;  Unknown;9991001;;3,745;370;Niigata Engineering Co Ltd - Japan;;;;0;Y;Oil;1;;United States Of America;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;113;;0,000;2018-10-12;;25,610;;Rptd Sold Undisclosed Interest;9991942;1963-10;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Fish Factory Ship;;Scarr Hessle;GBI032029;Neil & Ram Investments Ltd;4227204;In Service/Commission;Neil & Ram Investments Ltd;4227204;0;1952
5157327;HVALUR 6;;;;;;8,39;8,410;8,390;1946-09;0;TFMG;;United Kingdom;0;1962-01;3,2;0;  Unknown;9991001;;0,000;165;Bergius Co. Ltd. - Glasgow;;;;0;Y;Oil;1;;United States Of America;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;France Govt;France;110;;0,000;2012-10-04;;22,510;;Ocean Fisheries Ltd;0048664;1964-00;Oil Engine(s), Direct Drive;0;Ocean Fisheries Ltd;0048664;0;;;0;0,00;Pearl Shells Carrier;;Carrington Slipways Pty Ltd;AST003011;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1964
