IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
8533613;217;;;;;;13,41;0,000;13,410;2017-03;0;WDJ4305;;United Kingdom;35;1973-07;3,05;0;  Unknown;9991001;;2,057;222;Lister Blackstone Marine Ltd. - Dursley;;Richardsons, Westgarth;YYYYYY;0;;Turbine;1;;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Hoole H;Netherlands;111;1972-08;0,000;2017-01-16;1973-03;24,384;;Atlantis II Inc;5448184;1960-01;Oil Engine(s), Geared Drive;0;Atlantis II Inc;5448184;0;;;0;0,00;Diving Support Vessel;;Dunston Thorne;GBI032046;Hoole H;4232920;In Service/Commission;  Unknown;9991001;0;1973
8898831;7-28;;;;;;12,00;12,000;0,000;1989-09;0;HMYO3;;United Kingdom;35;1972-08;3,05;0;  Unknown;9991001;;2,057;222;Lister Blackstone Marine Ltd. - Dursley;;Non-Propelled;;0;;;0;;Liberia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;1701;;0,000;2014-07-25;;64,090;;Marine Industries & Investment;1632893;1958-04;Oil Engine(s), Geared Drive;0;Marine Industries & Investment;1632893;0;;;0;0,00;Offshore Support Vessel;;Maryland Shipbuilding;USA116021;Atlantis II Inc;5448184;In Service/Commission;Caribbean Ship Management Inc;5431407;0;1963
8769511;A. J. BOURG;Caterpillar;Caterpillar;3304;4;199;20,27;20,270;0,000;2008-02;0;5OAY3;;United States Of America;977;1963-00;6,74;0;Caribbean Ship Management Inc;5431407;;5,176;216;General Motors Corp. Electro-Motive Div. - La Grange;;Stork;;0;Y;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Robert Krebs KG GmbH & Co;Germany;499;1952-06;0,000;2018-06-22;1953-01;50,860;;Nitsea Navegacao Ltda;5676773;1956-01;Oil Engine(s), Geared Drive;0;Nitsea Navegacao Ltda;5676773;0;;;0;0,00;Standby Safety Vessel;;Lewis Aberdeen;GBI061041;Marine Industries & Investment;1632893;In Service/Commission;Marine Industries & Investment;1632893;0;1960
7411521;ABAN ABRAHAM;;;;;;23,50;23,540;23,500;1976-09;0;C6PM5;;United Kingdom;0;1975-00;3,89;0;  Unknown;9991001;;3,125;222;Lister Blackstone Marine Ltd. - Dursley;;Mirrlees;;0;4;Oil;1;;Unknown;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;281;;0,000;2017-08-09;;36,230;;Ribau Pesca;0343401;1958-11;Oil Engine(s), Geared Drive;0;Ribau Pesca;0343401;0;;;0;0,00;Standby Safety Vessel;;Cochrane Selby;GBI021079;Ribau Pesca;0343401;In Service/Commission;Ribau Pesca;0343401;0;1960
5171189;ABAN ICE;;;;;;21,71;21,820;21,710;1959-02;0;H9BA;;United Kingdom;0;1958-09;4,35;0;  Unknown;9991001;;0,000;381;Mirrlees, Bickerton & Day - Stockport;;Non-Propelled;;0;N;;0;;Malaysia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;121;;0,000;2018-03-12;;26,450;;Ossman MA;1245971;1956-03;Oil Engine(s), Geared Drive;0;Ossman MA;1245971;0;;;0;0,00;Diving Support Vessel;;Vooruit Scheepswerf Zaand;NTH177015;Hoekman A&L;0512743;In Service/Commission;Hoekman A&L;0512743;0;1963
7374046;ABO FPSO;Daihatsu;Daihatsu;6VSHT-26D;;0;53,61;53,650;53,610;1976-11;0;HOIQ;;German Democratic Republic;0;1958-01;3,66;234;  Unknown;9991001;;3,550;240;VEB Maschinenbau Halberstadt - Halberstadt;;General Electric;YYYYYY;0;;Turbine;1;;St Vincent & The Grenadines;123,00;8920,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Rederij Groen BV;Netherlands;340;;0,000;2018-11-23;1954-05;44,040;;Van'T Hoff A;1511972;1958-12;Oil Engine(s), Geared Drive;0;Van'T Hoff A;1511972;0;;;0;0,00;Standby Safety Vessel;;Storviks Mekaniske Verksted AS;NOR080020;Moran Maritime Group Ltd;5640775;In Service/Commission;Regulus SIA;5503050;0;1965
6413560;ABOUZAR 1200;;;;;;39,16;39,200;39,160;1964-10;0;EQVR;;Netherlands;0;1958-12;3,05;0;  Unknown;9991001;;2,083;0;Unknown;;Non-Propelled;;0;N;;0;;Bahamas;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Aban Offshore Ltd - Chennai;India;15228;1958-02;0,000;2018-11-27;1958-10;183,010;;CAMSA;1547573;1953-03;Steam Turbine(s), Geared Drive;0;CAMSA;1547573;0;;;0;0,00;Standby Safety Vessel;;Brooke Marine;GBI013022;Brasal Marine Services Ltd;1600500;In Service/Commission;  Unknown;9991001;0;1966
9312743;ABU SAFAH;;;;;;17,00;0,000;17,000;2004-09;0;HZG5710;;Netherlands;0;1958-12;3,31;0;  Unknown;9991001;;2,083;0;Unknown;;Non-Propelled;;0;;;0;;Panama;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;276;1956-05;0,000;2018-05-04;1956-10;38,180;;Rptd Sold Undisclosed Interest;9991942;1956-01;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;FSO, Oil;;Mitsubishi Nagasaki;JPN421311;Omni Offshore Terminals Ops;5604185;To Be Broken Up;Omni Offshore Terminals Ops;5604185;0;1968
9378149;ACERGY VIKING;;;;;;19,60;0,000;19,600;2007-12;0;LAZE7;;Netherlands;0;1954-07;3,04;0;Rederij Groen BV;0635294;;2,290;190;NV Machinefabriek 'Bolnes' v/h JH van Cappellen - Netherlands;;General Electric;YYYYYY;0;;Turbine;1;;Bahamas;168,00;10128,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;283;1957-09;0,000;2011-12-25;;40,590;;Rptd Sold Undisclosed Interest;9991942;1926-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Diving Support Vessel;;Yokohama Zosen;JPN041017;Humaid Badir Marine Shpg Est;1239606;In Service/Commission;  Unknown;9991001;0;1968
9822815;ACTA AURIGA;;;;;;18,00;18,650;18,000;2018-03;80;PDEI;;United Kingdom;0;1957-11;4,35;0;  Unknown;9991001;;0,000;381;Mirrlees, Bickerton & Day - Stockport;;Ishikawajima;YYYYYY;0;;Turbine;1;;Liberia;417,00;17363,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;214;1959-04;0,000;2017-12-13;1959-10;31,810;;Carina Offshore Ltd;5534074;1958-00;Oil Engine(s), Geared Drive;0;Carina Offshore Ltd;5534074;0;;;0;0,00;Standby Safety Vessel;;Vooruit Scheepswerf Zaand;NTH177015;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1969
9850355;ACTA CENTAURUS;;;;;;18,00;18,650;18,000;2019-04;80;;;France;140;1958-01;4,2;0;  Unknown;9991001;;3,398;320;Kloeckner-Humboldt-Deutz AG - West Germany;;Ishikawajima;YYYYYY;0;;Turbine;1;;Panama;447,00;13422,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Grupo R SA de CV;Mexico;16378;1954-03;0,000;2018-10-10;1955-06;201,660;;Hoekman A&L;0512743;1962-09;Oil Engine(s), Direct Drive;0;Hoekman A&L;0512743;0;;;0;0,00;Offshore Support Vessel;;McLean;GBI064010;Lockers Trawlers Ltd;1913291;In Service/Commission;  Unknown;9991001;0;1970
9750268;ACTA ORION;;;;;;16,00;0,000;16,000;2015-11;0;PCEN;;Norway;0;1955-03;3,51;0;  Unknown;9991001;;0,000;220;AS Bergens Mek Verksteder - Norway;;Non-Propelled;;0;N;;0;;Malaysia;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Offshore Energy ApS;Denmark;588;;0,000;2018-11-22;;50,980;;Moran Maritime Group Ltd;5640775;1964-03;Oil Engine(s), Direct Drive;0;Moran Maritime Group Ltd;5640775;0;;;0;0,00;Diving Support Vessel;;American Marine New Orlea;USA024010;Marlin Oilfield Divers Inc;6053309;In Service/Commission;  Unknown;9991001;0;1969
9407249;ADAMS CHALLENGE;;;;;;18,00;0,000;18,000;2009-01;0;2BQX7;;United Kingdom;0;1985-00;3,97;0;  Unknown;9991001;;3,310;220;Kloeckner-Humboldt-Deutz AG - West Germany;;Ishikawajima;YYYYYY;0;;Turbine;1;;Panama;0,00;12875,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;205;;0,000;2018-11-23;;33,000;;Rptd Sold Undisclosed Interest;9991942;1961-01;Oil Engine(s), Electric Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;FPSO, Oil;;Eriksbergs;SWD004016;Lundin Malaysia BV;5719200;In Service/Commission;Lundin Malaysia BV;5719200;0;1971
8502925;ADESSA LEGEND;;;;;;18,90;18,900;0,000;1985-07;0;3EMO6;;United Kingdom;0;1958-06;3,97;0;  Unknown;9991001;;0,000;318;Ruston & Hornsby Ltd. - Lincoln;;Stal-Laval;YYYYYY;0;;Turbine;1;;Bermuda;232,00;11002,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;299;;0,000;2018-04-03;;42,490;;Brasal Marine Services Ltd;1600500;1963-01;Oil Engine(s), Geared Drive;0;Brasal Marine Services Ltd;1600500;0;;;0;0,00;Diving Support Vessel;;Burton Shipyard Port Arth;USA042051;DeepCor Marine Inc;5806031;Laid-Up;DeepCor Marine Inc;5806031;0;1965
9778703;ADHEMAR DE SAINT-VENANT;;;;;;22,00;0,000;22,000;2017-06;0;LXUD;;United Kingdom;0;1959-12;3,66;0;  Unknown;9991001;;0,000;222;Mirrlees Blackstone (Stamford) Ltd. - Stamford;;Non-Propelled;;0;;;0;;Bermuda;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;843;;0,000;2018-04-03;;63,510;;Malta Shipping Ltd;5326251;1964-02;Oil Engine(s), Geared Drive;0;Malta Shipping Ltd;5326251;0;;;0;0,00;FPSO, Oil;;AESA - Cadiz - Cadiz;SPN031096;Modec International Inc;1986287;In Service/Commission;Modec International Inc;1986287;0;1973
8913629;ADMARINE 100;Volvo Penta;Volvo Penta;M220L-SN;;650;32,20;32,226;32,200;1992-07;0;3EVM2;;Norway;478;1928-00;4,5;0;  Unknown;9991001;;4,495;320;Maschinenbau Kiel AG (MaK) - Kiel;;Non-Propelled;;0;N;;0;;Indonesia;;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Carina Offshore Ltd;Cook Islands;152;;0,000;2018-09-26;;28,000;;Bjerrum & Jensen ApS;0718636;1966-06;Oil Engine(s), Geared Drive;0;Malta Towage Ltd;5601866;0;;;0;0,00;FPSO, Oil;;IHI - Kure;JPN011145;PETROBRAS;0161412;In Service/Commission;PETROBRAS;0161412;0;1973
8412974;ADOON;Caterpillar;Caterpillar;3512TA;4;932;54,01;54,060;54,010;1985-10;0;9VBY9;;Norway;1000;1982-00;6,08;0;  Unknown;9991001;;5,484;320;Kloeckner-Humboldt-Deutz AG - West Germany;;Non-Propelled;;0;N;;0;;Indonesia;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Van Laar Maritime BV;Netherlands;100;;0,000;2018-11-14;;27,160;;Rptd Sold Australia;9992371;1965-07;Oil Engine(s), Geared Drive;0;Rptd Sold Australia;9992371;0;;;0;0,00;Standby Safety Vessel;;Deweert H.;BLG021055;Alaborg Offshore Services BV;5316171;In Service/Commission;Alaborg Offshore Services BV;5316171;0;1973
9374260;ADV OCEAN PROTECTOR;;;;;;21,00;21,020;21,000;2007-08;61;VKOP;;Norway;0;1954-11;3,46;0;  Unknown;9991001;;2,693;280;Wichmann Motorfabrikk AS - Norway;;General Electric;MST-14;0;;Turbine;1;;Marshall Islands;388,00;6334,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Hoekman A&L;Netherlands;170;1962-12;0,000;2017-05-31;1963-05;33,000;;Moen Marine Shipping;5435489;1966-04;Oil Engine(s), Geared Drive;0;Moen Marine Shipping;5435489;0;;;0;0,00;Offshore Support Vessel;;Iversen S;NOR056014;Lockers Trawlers Ltd;1913291;In Service/Commission;  Unknown;9991001;0;1973
7332452;ADVENTURE;;;;;;7,01;7,090;7,010;1973-11;0;;;Netherlands;0;1960-00;3,1;0;  Unknown;9991001;;0,000;170;Caterpillar Inc - USA;;Non-Propelled;;0;;;0;;Marshall Islands;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Van Laar Maritime BV;Netherlands;335;;0,000;2018-08-21;;34,750;;Osaka Tanker;1000309;1967-03;Oil Engine(s), Direct Drive;0;Osaka Tanker;1000309;0;;;0;0,00;Diving Support Vessel;;Gregson Blyth;GBI345057;Simmons C;5061592;In Service/Commission;  Unknown;9991001;0;1974
9605396;AEGIR;CATERPILLAR;CATERPILLAR;3516B;4;1731;46,20;46,204;46,200;2012-12;0;3EYH5;;Norway;0;1980-99;3,38;0;  Unknown;9991001;;2,744;280;Wichmann Motorfabrikk AS - Norway;;Non-Propelled;;0;;;0;;Bahamas;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;  Unknown;;92889;;62,200;2019-02-06;;300,000;;Rptd Sold Undisclosed Interest;9991942;1967-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Diving Support Vessel;;Gregson Blyth;GBI345057;White Water Recovery Ltd;5629201;In Service/Commission;White Water Recovery Ltd;5629201;0;1973
