IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
8803288;2002-02;;;;;;7,92;0,000;7,920;1990-03;0;;;United Kingdom;0;1947-07;4,88;0;  Unknown;9991001;;4,604;320;Kloeckner-Humboldt-Deutz AG - West Germany;;;;0;;Reciprocatng;1;;Egypt;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;109;1959-03;0,000;2014-04-07;1959-07;25,430;;McPhail JJ;1414306;1953-05;Oil Engine(s), Direct Drive;0;McPhail JJ;1414306;0;;;0;0,00;Research Survey Vessel;;Wartsila Ab - Helsinki;FIN015020;MeriTaito Oy;5515843;In Service/Commission;MeriTaito Oy;5515843;0;1979
8806010;2015-03;;;;;;10,50;10,520;10,500;1990-09;0;VOSR;;Iceland;0;1957-08;3,2;0;  Unknown;9991001;;0,000;250;Nydqvist & Holm AB - Sweden;;Kobe;;0;;Reciprocatng;2;;India;102,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;272;;0,000;2018-04-03;;38,890;;Kolkata Port Trust;0039391;1959-03;Steam Recip(s), Direct Drive;0;Kolkata Port Trust;0039391;0;;;0;0,00;Research Survey Vessel;;Oskarshamns Varv;SWD023057;Vondervoort Vof;5362020;In Service/Commission;  Unknown;9991001;0;1956
9714173;7-OCEANS;;;;;;8,70;8,710;8,700;2014-07;0;HP4534;;Italy;610;1962-07;5,69;0;  Unknown;9991001;;3,801;480;SA Fiat SGM - Torino;;De Laval;YYYYYY;0;;Turbine;1;;United States Of America;0,00;0,00;0,00;0,00;Residual Fuel;Not Applicable;0;India Govt;India;265;;0,000;2012-07-20;;44,150;;Pouppi Lines;0162265;1933-00;Oil Engine(s), Direct Drive;0;Pouppi Lines;0162265;0;;;0;0,00;Research Survey Vessel;;Cook, Welton & Gemmell;GBI024122;Caterpillar Financial Serv-Can;5675608;In Service/Commission;  Unknown;9991001;0;1947
9721956;7-STARS;;;;;;8,70;8,710;8,700;2015-04;0;HP6219;;Netherlands;0;1959-09;3,1;0;  Unknown;9991001;;0,000;250;NV Motorenfabriek 'De Industrie' - Netherlands;;Christiansen & Meyer;;0;;Reciprocatng;2;;India;152,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;168;;0,000;2012-07-20;;32,280;;Egypt Govt Maritime Transport;1226959;1928-10;Steam Recip(s), Direct Drive;0;Egypt Govt Maritime Transport;1226959;0;;;0;0,00;Research Survey Vessel;;Stalsmidjan;ICL017074;McPhail JJ;1414306;In Service/Commission;  Unknown;9991001;0;1957
9714185;7-WAVES;;;;;;8,70;8,710;8,700;2014-10;0;HP5141;;Norway;0;1960-00;3,97;0;  Unknown;9991001;;3,302;280;Wichmann Motorfabrikk AS - Norway;;;;0;;Oil;1;;Indonesia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Egypt Govt;Egypt;317;;0,000;2012-07-20;;42,130;;Puddister Trading Co Ltd;0049733;1959-00;Oil Engine(s), Direct Drive;0;Puddister Shipping;0049720;0;;;0;0,00;Research Survey Vessel;;Orens Mekaniske Verksted;NOR073011;O Log Shipping Norway AS;5972482;In Service/Commission;  Unknown;9991001;0;1960
9797137;804;;;;;;9,20;9,500;9,200;2016-01;0;;;Belgium;0;1935-00;0;0;  Unknown;9991001;;2,261;150;Societe Surgerienne de Construction Mecaniques - France;;;;0;Y;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Puddister Trading Co Ltd;Canada;262;;0,000;2012-07-25;;35,060;;Rptd Sold Undisclosed Interest;9991942;1941-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Research Survey Vessel;;Swan, Hunter & W. R.;GBI083078;Egypt Govt Maritime Transport;1226959;In Service/Commission;Egypt Govt Maritime Transport;1226959;0;1930
6701761;A. B. WOOD II;;;;;;10,98;11,030;10,980;1965-00;0;WB6461;;United Kingdom;0;1930-10;0;0;  Unknown;9991001;;0,000;0;Swan, Hunter & Wigham Richardson - Newcastle;;;;0;2;Oil;2;;United States Of America;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Sea Shepherd Conservation;United States Of America;488;;0,000;2018-04-03;;51,390;;Kolkata Port Trust;0039391;1936-05;Steam Recip(s), Direct Drive;0;Kolkata Port Trust;0039391;0;;;0;0,00;Research Survey Vessel;;Halifax Shipyards Ltd;CAN033011;Puddister Trading Co Ltd;0049733;In Service/Commission;Puddister Trading Co Ltd;0049733;0;1961
8935952;A. V. TOPACHEVSKIY;;;;;;7,31;7,310;0,000;1976-00;0;;;Canada;0;1961-00;0;0;  Unknown;9991001;;2,134;130;Rolls-Royce Ltd. - Shrewsbury;;;;0;Y;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;386;;0,000;2016-05-27;;42,370;;Saetre EH;1327126;1946-00;Oil Engine(s), Direct Drive;0;Saetre EH;1327126;0;;;0;0,00;Research Survey Vessel;;At Cleveland Oh;USA000410;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1943
8971633;AAS PROVIDER;Cummins;Cummins;;;48;9,00;0,000;9,000;2000-00;13;LERO;;Norway;0;1966-00;6,13;0;  Unknown;9991001;;5,665;240;Kloeckner-Humboldt-Deutz AG - West Germany;;General Motors;;0;2;Oil;2;;Israel;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;307;;0,000;2018-12-21;;38,590;;EC Industries LLC;5553860;1956-11;Steam Turbine(s), Geared Drive;0;EC Industries LLC;5553860;0;;;0;0,00;Research Survey Vessel;;Brooke Marine;GBI013022;Investigaciones Marinas SL;1407817;In Service/Commission;Investigaciones Marinas SL;1407817;0;1961
9369576;ABG 239;;;;;;15,80;0,000;15,800;2019-05;0;;;United Kingdom;437;1961-00;3,97;0;  Unknown;9991001;;3,531;222;Lister Blackstone Marine Ltd. - Dursley;;General Motors;;0;2;Oil;2;;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;292;;0,000;2011-10-07;;39,200;;Allied Ventures;1407896;1961-06;Oil Engine(s), Geared Drive;0;Allied Ventures;1407896;0;;;0;0,00;Research Survey Vessel;;Yarrows Ltd;CAN018032;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1965
