IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
5000237;P. E. 2;;;;;;5,82;5,85;5,82;1931-00;0;DGBL;;Netherlands;156;1931-00;1,88;0;  Unknown;9991001;;0;150;Daimler-Benz AG - West Germany;6;Daimler;MB846A;190;4;Oil;1;;Germany;0;0;0;0;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;125;;0;42429;;34,29;;Petersen & Eberhardt;1752944;1929-00;Oil Engine(s), Geared Drive;0;Petersen & Eberhardt;1752944;0;;;0;0;Grab Dredger;;Smit E.J. Westerbroek;NTH066011;Petersen & Eberhardt;1752944;In Service/Commission;Petersen & Eberhardt;1752944;0;1931
5016743;ANDREW WILSON;;;;;;9,15;9,35;9,15;1961-00;0;VHS6409;;Australia;351;1961-00;3,43;0;  Unknown;9991001;;0;108;Detroit Diesel Corporation - Detroit, Mi;6;G.M. (Detroit Diesel);juin-71;127;2;Oil;4;2000;Australia;15;0;0;0;Distillate Fuel;Not Applicable;0;  Unknown;9991001;398;;0;43424;;40,24;503325300;Techport Hire Pty Ltd;5715768;1959-00;Oil Engine(s), Geared Drive;0;Techport Hire Pty Ltd;5715768;0;;;0;8,5;Grab Hopper Dredger;;Walkers Ltd;AST013010;Techport Hire Pty Ltd;5715768;In Service/Commission;  Unknown;9991001;0;1961
5026619;HOLMI;;;;;;8,13;8,13;0;1961-00;0;OYXS;;Denmark;457;1964-00;0;0;  Unknown;9991001;;3,504;240;Alpha Diesel A/S - Denmark;6;Alpha;406-24VO;400;2;Oil;1;400;Denmark;0;0;0;0;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;335;;0;43684;;45,29;331197000;Moller Petersen K;1877681;1959-00;Oil Engine(s), Direct Drive;0;Moller Petersen K;1877681;0;;;0;8;Suction Dredger;;Limfjords-Vaerftet A/S;DEN017017;Moller Petersen K;1877681;In Service/Commission;Moller Petersen K;1877681;0;1961
5049702;BOUTONNE;;;;;;7,35;7,35;0;1955-00;0;;;France;225;1955-00;0;0;  Unknown;9991001;;0;140;Societe des Moteurs Baudouin SA - France;3;Baudouin;;180;4;Oil;2;;Unknown;0;0;0;0;Distillate Fuel;Not Applicable;0;  Unknown;9991001;181;;0;43725;;28,29;;Rptd Sold Undisclosed Interest;9991942;1953-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;10;Dredger (unspecified);;Bordeaux-Bassens;FRA074045;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1955
5057644;GARRANO;;;;;;11,28;12,02;11,28;1961-06;0;;;United Kingdom;1333;1961-06;4,88;0;SUBMARIT;4186920;;4,145;340;British Polar Engines Ltd. - Glasgow;6;Polar;MN16;570;2;Oil;1;;Unknown;28,5;0;0;0;Distillate Fuel;Not Applicable;0;SUBMARIT;4186920;954;;0;43705;;61,4;263671350;SUBMARIT;4186920;1959-06;Oil Engine(s), Direct Drive;0;Conde J;801376;0;;;0;10;Grab Hopper Dredger;;Harris PK & Sons Ltd;GBI049031;SUBMARIT;4186920;In Service/Commission;SUBMARIT;4186920;0;1961
5061853;MARIE-SOL;;;;;;8,08;8,13;8,08;1952-07;0;HP6792;;United Kingdom;0;1974-00;4,42;0;  Unknown;9991001;;4,007;108;General Motors-Detroit Diesel Allison Divn - USA;12;G.M. (Detroit Diesel);12V-71;127;2;Oil;2;;Panama;27,5;0;0;0;Distillate Fuel;Not Applicable;0;  Unknown;9991001;379;;0;43742;;37,19;;Dragarena;1471481;1950-07;Oil Engine(s), Geared Drive;0;Dragarena;1471481;0;;;0;8;Dredger (unspecified);;Cochrane Selby;GBI021079;Dragarena;1471481;In Service/Commission;Dragarena;1471481;0;1952
5072515;CHURNI;;;;;;18,9;19;18,9;1961-05;0;VWQX;;United Kingdom;3048;1961-05;7,35;0;  Unknown;9991001;;5,512;0;Simons-Lobnitz Ltd. - Renfrew;;;;0;;Reciprocatng;2;;India;711;0;0;0;Residual Fuel;Not Applicable;0;India Govt;42529;4582;;0;43787;;113,42;;Kolkata Port Trust;39391;1959-05;Steam Recip(s), Direct Drive;0;Kolkata Port Trust;39391;0;;;0;0;Suction Hopper Dredger;;Simons-Lobnitz;GBI080081;Kolkata Port Trust;39391;In Service/Commission;  Unknown;9991001;0;1961
5075878;NAWAL;;;;;67;13,42;13,9;13,42;1962-02;0;;;United Kingdom;1712;1962-02;5,72;0;Divers Marine Contracting LLC;5607984;;4,8;260;Ruston & Hornsby Ltd. - Lincoln;5;Ruston;5VEBCZ;368;4;Oil;2;;Unknown;0;0;0;0;Yes, But Type Not Known;Not Applicable;0;Divers Marine Contracting LLC;5607984;1436;;0;43909;1961-09;68,26;;Divers Marine Contracting LLC;5607984;1961-06;Oil Engine(s), Geared Drive;0;Divers Marine Contracting LLC;5607984;0;;;0;10;Trailing Suction Hopper Dredger;;Fleming & Ferguson;GBI037029;Divers Marine Contracting LLC;5607984;In Service/Commission;Divers Marine Contracting LLC;5607984;0;1962
5079355;COQUET MOUTH;;;;;;7,78;7,85;7,78;1955-04;0;;;United Kingdom;213;1955-04;2,6;0;  Unknown;9991001;;2,134;180;Crossley Bros. Ltd. - Manchester;6;Crossley;;230;2;Oil;1;;Unknown;0;0;0;0;Distillate Fuel;Not Applicable;0;  Unknown;9991001;171;1953-12;0;43787;1954-12;30,84;;Rptd Sold Undisclosed Interest;9991942;1953-03;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0;Grab Hopper Dredger;;Yarwood;GBI094031;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1955
5083069;CURRAGHGOUR II;;;;;;9,76;9,91;9,76;1959-10;0;EIQR;;Irish Republic;435;1959-11;3,97;0;  Unknown;9991001;;3,068;170;Caterpillar Inc - USA;8;Caterpillar;3508TA;190;4;Oil;1;;Irish Republic;24,5;0;0;0;Distillate Fuel;Not Applicable;0;Limerick Harbour Commissioners;46314;425;1957-12;0;43269;1959-02;43,59;;Limerick Harbour Commissioners;46314;1956-09;Oil Engine(s), Geared Drive;0;Shannon Estuary Ports;1832915;0;;;0;10;Grab Hopper Dredger;;Liffey;IRP001049;Shannon Estuary Ports;1832915;In Service/Commission;Shannon Estuary Ports;1832915;0;1959
