IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
1594917;RAJAWALI EMAS;;;;;;31,70;0,000;31,700;2009-03;0;HO4278;RI;China, People's Republic Of;0;2009-03;7,31;0;Bayu Maritim Berkah PT;5642238;;0,000;0;Unknown;;Non-Propelled;;0;;;0;;Panama;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;UTEC Survey Ltd;United Kingdom;799;1972-06;0,000;2019-02-28;1973-04;60,250;357776000;Bayu Maritim Berkah PT;5642238;2007-06;Non-Propelled;0;Bahtera Bayu Marine Pte Ltd;4246019;0;;;0;0,00;Work/Repair Vessel;;Nantong Tongsheng Ship Mfg;CHR523050;Bayu Maritim Berkah PT;5642238;In Service/Commission;Bayu Maritim Berkah PT;5642238;0;2009
1891975;SEVEN ANTARES;;;;;;31,70;0,000;31,700;2009-01;0;HPXJ;BV;China, People's Republic Of;7569;2009-01;7,31;0;  Unknown;9991001;20190826;4,320;0;Unknown;;Non-Propelled;;0;;;0;;Panama;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;20;;0,000;2019-01-31;;14,940;371619000;Subsea 7 Int'l Contracting Ltd;5596493;2008-01;Non-Propelled;0;Subsea 7 Offshore Resources UK;5673411;0;;;0;0,00;Work/Repair Vessel;;Wison Nantong Heavy Industry;CHR487050;Subsea 7 Int'l Contracting Ltd;5596493;In Service/Commission;  Unknown;9991001;0;2009
4500084;UTEC SURVEYOR;;;;;;12,20;12,360;12,200;1973-09;0;;;United Kingdom;0;1973-09;5,5;0;UTEC Survey Ltd;5211759;;4,180;178;Paxman Diesels Ltd. - Colchester;16;Paxman;16RPHM;197;4;Oil;1;;Unknown;;0,00;2,50;0,00;Yes, But Type Not Known;Not Applicable;0;James Molinary Ltd;Gibraltar;0;;0,000;2018-08-07;;19,370;;UTEC Survey Ltd;5211759;1970-01;Oil Engine(s), Geared Drive;0;UTEC Survey Ltd;5211759;0;;;305;10,00;Salvage Ship;;Robb Caledon;GBI075358;UTEC Survey Ltd;5211759;In Service/Commission;UTEC Survey Ltd;5211759;0;1973
4500292;LYNAS SHUTTLE;;;;;;4,66;4,660;0,000;1981-00;0;GCHK;;United Kingdom;0;1981-00;1,35;0;  Unknown;9991001;;0,000;130;AB Volvo Penta - Sweden;6;Volvo Penta;TAMD122D;150;4;Oil;2;;United Kingdom;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;209;1978-05;0,000;2019-02-28;1978-09;31,450;235028739;Rptd Sold Undisclosed Interest;9991942;1979-00;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Utility Vessel;;Halmatic Ltd - Havant;GBI293051;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1981
4505412;CATHY M;;;;;;6,50;6,500;0,000;1986-00;0;2BDY2;;United Kingdom;0;1986-00;0;0;  Unknown;9991001;;0,000;98;Perkins Engines Ltd. - Peterborough;6;Perkins;T6.3544;127;4;Oil;2;2400;United Kingdom;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;367;;0,000;2019-02-28;;45,660;235085186;James Molinary Ltd;4254261;1984-00;Oil Engine(s), Geared Drive;0;James Molinary Ltd;4254261;0;;;0;0,00;Work/Repair Vessel;;McTay Bromborough;GBI402064;James Molinary Ltd;4254261;In Service/Commission;  Unknown;9991001;0;1986
4537063;TULU;;;;;;7,70;0,000;7,700;1979-06;0;OXEI;;Denmark;0;1979-06;0;0;  Unknown;9991001;;3,300;260;B&W Alpha Diesel A/S - Denmark;8;Alpha;408-26VO;400;2;Oil;1;400;Denmark;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Latvia Govt Coast Guard;Latvia;545;;0,000;2018-12-21;1970-12;48,320;331670000;Rptd Sold Undisclosed Interest;9991942;1978-02;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Patrol Vessel;;Svendborg Skibsvaerft A/S;DEN009036;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1979
4538548;ISLA ESPANOLA;;;;;;9,10;10,000;9,100;2005-01;0;HC4626;;Spain;0;2005-01;5;0;  Unknown;9991001;;2,700;165;MTU Friedrichshafen GmbH - Friedrichshafen;16;M.T.U.;16V4000M90;190;4;Oil;3;2100;Ecuador;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Hesfibel Uluslararasi;Turkey;592;1965-03;0,000;2019-02-28;1965-12;58,780;;Ecuardor Govt DIRNEA;4228468;2002-10;Oil Engine(s), Geared Drive;0;Ecuardor Govt DIRNEA;4228468;0;;;0;0,00;Patrol Vessel;;Murueta;SPN018011;Ecuardor Govt DIRNEA;4228468;In Service/Commission;  Unknown;9991001;0;2005
4542317;IKOLE;;;;;;6,00;0,000;6,000;2000-06;0;;;Estonia;50;2000-06;0;119;  Unknown;9991001;;2,200;170;Deutz AG - Koeln;12;Deutz;TBD620V12;195;4;Oil;2;1860;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;74;;0,000;2017-08-07;;24,079;;Uranus Navigation SA;5861639;1998-06;Oil Engine(s), Geared Drive;0;Uranus Navigation SA;5861639;0;;;0;23,00;Patrol Vessel;;BLRT Laevaehitus OU;ETN004050;Uranus Navigation SA;5861639;In Service/Commission;  Unknown;9991001;0;2000
4544028;SUURSAARI;;;;;;8,70;0,000;8,700;1966-01;0;OJQS;;Finland;0;1966-01;0;0;  Unknown;9991001;;2,500;0;Oy Wartsila Ab - Finland;;Wartsila;;0;;Oil;1;;Finland;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;112;;0,000;2019-02-28;;24,380;230061040;Applimech Oy;4226515;1965-01;Oil Engine(s), Geared Drive;0;Applimech Oy;4226515;0;;;0;10,00;Cable Layer;;Rauma-Repola Oy - Rauma;FIN003025;Applimech Oy;4226515;In Service/Commission;  Unknown;9991001;0;1966
4544092;HUSVIK MUNIN;;;;;;7,30;0,000;7,300;1999-07;0;LAUG7;RI;Finland;0;1999-07;5;0;  Unknown;9991001;;3,900;170;Wartsila Finland Oy - Finland;16;Cummins Wartsila;16V170;200;4;Oil;2;;Norway (Nis);0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;111;;0,000;2019-02-28;;24,100;257554000;Husvik Munin AS;5808085;1997-07;Oil Engine(s), Geared Drive;0;Husvik Munin AS;5808085;0;;;0;18,00;Patrol Vessel;;Uudenkaupungin Tyovene Oy;FIN020050;Husvik Munin AS;5808085;In Service/Commission;  Unknown;9991001;0;1999
