IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
9177674;A. MICHEL;Yanmar;Yanmar;S165l-UN;4;353;16,80;0,000;16,800;1998-04;0;A6E2723;;United Kingdom;4220;1917-02;12,6;0;  Unknown;9991001;;8,681;0;Ottensener Eisenwerk AG - Hamburg;;;;0;;Reciprocatng;3;;Russia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Impex Marine S Pte Ltd;Singapore;348;1981-11;13,000;2015-04-23;1982-10;45,120;;Pascoal & Filhos SA;0386551;1936-01;Sail, Aux Oil Eng(s) Direct-Dr;0;Pascoal & Filhos SA;0386551;0;;;0;0,00;Exhibition Vessel;;Palmas;SPN143050;Fundacion Nao Victoria;4157186;In Service/Commission;Fundacion Nao Victoria;4157186;0;2010
9058335;AB1;;;;;;3,90;3,896;0,000;1993-02;0;;;Yugoslavia;25;1955-06;3,44;0;  Unknown;9991001;;2,693;128;Daewoo Heavy Industries Ltd - South Korea;;;;0;;Reciprocatng;2;;United Kingdom;79,25;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;IMI Del Peru SAC;Peru;667;;0,000;2017-03-14;;56,000;;Rptd Sold Undisclosed Interest;9991942;1976-11;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Theatre Vessel;;Sandnessjoen Slip & MV AS;NOR076030;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1971
8829799;ABDUL HAKEEM;;;;;;6,00;0,000;6,000;1988-00;0;;;United Kingdom;1870;1955-10;5,49;0;  Unknown;9991001;;4,064;0;Lobnitz & Co. Ltd. - Renfrew;;Gardner;;0;4;Oil;1;;United Kingdom;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;622;;0,000;2017-06-12;;64,600;;Rptd Sold Undisclosed Interest;9991942;1968-11;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Theatre Vessel;;Rosslauer;GDR008021;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1963
8411463;ABIGAIL;;;;;;9,81;9,960;9,810;1985-05;0;UEIQ;;United Kingdom;0;1925-07;2,9;0;  Unknown;9991001;;2,636;0;L. Gardner & Sons Ltd. - Manchester;;S.K.L.;;0;4;Oil;1;;Germany;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;325;;0,000;2018-05-02;;50,020;;Rptd Sold Undisclosed Interest;9991942;1961-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Mission Ship;;Mjellem & Karlsen AS;NOR069012;Indre Nordhordland Dampbaatlag;1588458;In Service/Commission;Vestland Marine Sp z oo;5007032;0;1964
5023796;ADORNATE;Perkins;Perkins;;;40;6,30;0,000;6,300;1961-00;0;YQGT;;Netherlands;0;1939-04;0;0;  Unknown;9991001;;0,000;290;Sulzer Bros Ltd - Switzerland;;General Motors;;0;2;Oil;2;;United States Of America;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;312;1975-07;0,000;2017-07-17;1975-12;46,000;;Rptd Sold Yemen;9981858;1962-00;Oil Engine(s), Direct Drive;0;Rptd Sold Yemen;9981858;0;;;0;0,00;Mission Ship;;Hakodate Dock - Hakodate;JPN004116;YWAM Medical Ships NZ Ltd;5976661;In Service/Commission;  Unknown;9991001;0;1979
9038232;AEGEAN ACE;;;;;;11,20;0,000;11,200;1992-01;0;SVA2290;;United Kingdom;115;1978-11;3,81;0;  Unknown;9991001;;2,858;222;Mirrlees Blackstone (Stamford) Ltd. - Stamford;;;;0;;Oil;6;;Namibia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;489;1983-02;15,000;2017-01-27;1983-05;49,810;;Friend Ships Unlimited;5126411;1941-10;Oil Engine(s), Electric Drive;0;Friend Ships Unlimited;5126411;0;;;0;0,00;Mission Ship;;Gotaverken Arendal;SWD008152;YWAM;0666301;In Service/Commission;YWAM;0666301;0;1988
8865640;AEGEAN ORION;;;;;0;7,00;0,000;7,000;1991-00;0;SVA2487;;Spain;60;2010-03;6,87;0;  Unknown;9991001;;2,500;152;Gutierrez Ascunce Corp (GUASCOR) - Spain;;Niigata;;0;4;Oil;1;;Thailand;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Famar Prestacao de Servicos;Angola;1209;1982-10;0,000;2018-01-31;1983-04;72,930;;Friend Ships Unlimited;5126411;1941-07;Oil Engine(s), Electric Drive;0;Friend Ships Unlimited;5126411;0;;;0;0,00;Mission Ship;;Marine Iron Duluth;USAA43050;Friend Ships Unlimited;5126411;In Service/Commission;  Unknown;9991001;0;1943
8836974;AEGINA II;;;;;;10,82;0,000;10,820;1966-00;0;SW6459;;Norway;0;1971-06;3,71;0;  Unknown;9991001;;3,569;250;AS Bergens Mek Verksteder - Norway;;;;0;Y;Oil;1;;Thailand;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;1209;1982-03;0,000;2012-05-29;1982-10;72,900;;K&K Warehousing Inc;5213843;1922-01;Oil Engine(s), Electric Drive;0;Viking I LLC;5359048;0;;;0;0,00;Bulk Dry Storage Ship;;Manitowoc Shipbuilding Co;USAA21090;K&K Warehousing Inc;5213843;In Service/Commission;K&K Warehousing Inc;5213843;0;1925
9098218;AEOLUS I;;;;;;7,96;0,000;7,960;1963-01;0;;;German Democratic Republic;854;1963-00;2,52;0;  Unknown;9991001;;0,000;0;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";;MAN;;0;4;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Al Jazeera Shipping Co WLL;Bahrain;289;1982-11;0,000;2017-08-15;1983-07;35,410;;YWAM;0666301;1986-06;Sail, Aux Oil Eng(s), Geared;0;YWAM;0666301;0;;;0;0,00;Mining Vessel;;Kleven Verft AS - Ulsteinvik;NOR059119;Debmarine Namibia;1955497;On Order/Not Commenced;  Unknown;9991001;0;2020
7002629;AFROS I;;;;;;10,71;10,720;10,710;1969-09;0;;;United States Of America;5310;1945-00;8,84;0;  Unknown;9991001;;7,138;546;Nordberg Manufacturing Co - USA;;Mitsubishi;;0;Y;Oil;2;;Hong Kong, China;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;238;;0,000;2017-03-09;;35,180;;Arktikmorneftegazrazvedka OJSC;1009789;1977-01;Oil Engine(s), Electric Drive;0;Arktikmorneftegazrazvedka OJSC;1009789;0;;;0;0,00;Bunkering Tanker;;Fleet Forge Pty Ltd;AST015244;Korevaar Marine Group Pty Ltd;1261560;In Service/Commission;  Unknown;9991001;0;1955
