IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
6727478;ESTRELLA DEL ALBA;;;;;;10,40;10,700;10,400;1967-11;0;LW9806;LR;United Kingdom;1056;1967-11;3,4;1500;  Unknown;9991001;20151019;2,947;203;Ruston & Hornsby Ltd. - Lincoln;6;Ruston;6AP2;273;4;Oil;1;;Argentina;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Rodolfo Ibargoyen J;Argentina;427;1967-05;20,000;2017-05-02;1967-10;58,910;701006480;Rodolfo Ibargoyen J;1648664;1966-12;Oil Engine(s), Direct Drive;0;Rodolfo Ibargoyen J;1648664;0;;;0;9,25;Oil Tanker, Inland Waterways;;Appledore Shipbuilders - earl;GBI049044;Rodolfo Ibargoyen J;1648664;Laid-Up;  Unknown;9991001;0;1967
7210525;LIZZY;DEUTZAG;DEUTZ;F6L912;4;46;9,44;9,500;9,440;1972-09;0;PD2557;LR;Netherlands;1525;1972-09;2,9;0;  Unknown;9991001;20090501;2,801;240;Stork-Werkspoor Diesel BV - Netherlands;9;Kromhout;9FHD240;260;4;Oil;1;900;Netherlands;23,50;0,00;0,00;1,50;Distillate Fuel;Not Applicable;0;  Unknown;;0;1972-03;0,000;2019-02-27;1972-07;85,270;244740700;A M Kleinstra;5363663;1969-01;Oil Engine(s), Geared Drive;0;A M Kleinstra;5363663;0;;;0;10,00;Chemical/Products Tanker, Inland Waterways;;Appingedam;NTH004039;A M Kleinstra;5363663;In Service/Commission;  Unknown;9991001;0;1972
7234624;ELBINGERODE;;;;;;9,50;9,500;0,000;1973-01;0;HE6440;;Germany, Federal Republic Of;2156;1973-01;3,31;0;  Unknown;9991001;;3,160;200;MaK Motoren GmbH & Co. KG - Kiel;6;MaK;6M20;300;4;Oil;1;1000;Switzerland;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Fluvia Holding BV;Netherlands;0;;0,000;2018-10-08;1972-11;86,000;269056440;Fluvia AG;5160982;1971-12;Oil Engine(s), Geared Drive;0;Fluvia AG;5160982;0;;;0;0,00;Chemical Tanker, Inland Waterways;;Menzer-Werft Geesthacht;GFR028040;Fluvia AG;5160982;In Service/Commission;  Unknown;9991001;0;1973
7305784;MINTRA 3;;;;;;9,44;9,500;9,440;1973-04;0;;;Netherlands;1524;1973-04;2,9;0;  Unknown;9991001;;2,801;240;Stork-Werkspoor Diesel BV - Netherlands;8;Kromhout;8FBHD240;260;4;Oil;1;900;Nigeria;23,50;0,00;0,00;1,50;Distillate Fuel;Not Applicable;0;  Unknown;;0;;0,000;2018-09-05;;81,450;;Rptd Sold Nigeria;9992676;1970-01;Oil Engine(s), Geared Drive;0;Rptd Sold Nigeria;9992676;0;;;0;10,00;Chemical/Products Tanker, Inland Waterways;;Appingedam;NTH004039;Rptd Sold Nigeria;9992676;In Service/Commission;  Unknown;9991001;0;1973
7306726;STOLT WIEN;;;;;;9,50;9,500;0,000;1973-04;0;;GL;Germany, Federal Republic Of;2157;1973-04;4,86;0;  Unknown;9991001;;3,160;200;MaK Motoren GmbH & Co. KG - Kiel;6;MaK;6M20;300;4;Oil;1;1000;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Stolt Tankers BV;Netherlands;0;1972-10;0,000;2018-12-05;1973-03;108,900;;Stolt-Nielsen Inland Tanker;1760051;1971-12;Oil Engine(s), Geared Drive;0;Stolt-Nielsen Inland Tanker;1760051;0;;;0;0,00;Chemical Tanker, Inland Waterways;;Menzer-Werft Geesthacht;GFR028040;Stolt-Nielsen Inland Tanker;1760051;In Service/Commission;  Unknown;9991001;0;1973
7324493;TANKPARTNER;;;;;;11,21;11,260;11,210;1973-09;0;DD3578;;Belgium;2963;1973-09;3,76;0;  Unknown;9991001;;3,350;320;MaK Maschinenbau GmbH - Kiel;6;MaK;6M452AK;450;4;Oil;2;;Germany;30,50;0,00;0,00;7,00;Distillate Fuel;Not Applicable;0;  Unknown;;0;;0,000;2018-07-03;;110,010;211517070;Rptd Sold Undisclosed Interest;9991942;1971-09;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;13,00;Oil Tanker, Inland Waterways;;Sint-Barbara Werkhuizen;BLG132050;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1973
7324869;PIZ EVEREST;;;;;;8,84;9,000;8,840;1973-07;0;HE7296;;Germany, Federal Republic Of;1372;1973-07;2,7;0;  Unknown;9991001;;2,439;240;MaK Maschinenbau GmbH - Kiel;6;MaK;6M282AK;280;4;Oil;1;695;Switzerland;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Fluvia Holding BV;Netherlands;1556;1973-03;0,000;2018-09-06;1973-06;101,460;269057296;Fluvia AG;5160982;1971-12;Oil Engine(s), Geared Drive;0;Fluvia AG;5160982;0;;;0;0,00;Chemical Tanker, Inland Waterways;;Menzer-Werft Geesthacht;GFR028040;Fluvia AG;5160982;In Service/Commission;  Unknown;9991001;0;1973
7329285;PAUL BURMESTER;;;;;;9,40;9,450;9,400;1974-02;0;PD5388;;Poland;1495;1974-02;4,2;0;  Unknown;9991001;;2,896;240;Stork-Werkspoor Diesel BV - Netherlands;8;Kromhout;8FBHD240;260;4;Oil;1;900;Netherlands;0,00;0,00;0,00;2,50;Distillate Fuel;Not Applicable;0;  Unknown;;1329;;0,000;2017-06-14;;81,040;244750184;Hogau Scheepsbouw BV;5671199;1971-01;Oil Engine(s), Geared Drive;0;Hogau Scheepsbouw BV;5671199;0;;;0;10,00;Chemical/Products Tanker, Inland Waterways;;Wroclawska Stocznia Rzeczna;POL011020;Hogau Scheepsbouw BV;5671199;In Service/Commission;Hogau Scheepsbouw BV;5671199;0;1974
7341661;PROVIDER 1;;;;;;10,00;10,270;10,000;1974-10;0;5NYX;;United Kingdom;705;1974-10;3,74;0;  Unknown;9991001;;2,550;260;Alpha Diesel A/S - Denmark;8;Alpha;408-26VO;400;2;Oil;1;;Nigeria;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Link Bridge Tanks & Equipment;United Kingdom;560;1974-06;0,000;2018-02-08;1974-09;58,910;657115400;Link Bridge Oil & Marine Serv;5824350;1972-10;Oil Engine(s), Direct Drive;0;Link Bridge Tanks & Equipment;5824068;0;;;0;0,00;Oil Tanker, Inland Waterways;;Appledore Shipbuilders - earl;GBI049044;Link Bridge Oil & Marine Serv;5824350;In Service/Commission;Massc Global Marine Ltd;5778947;0;1974
7362744;MARCONI;;;;;;9,40;9,450;9,400;1974-02;0;YT2573;;Poland;1495;1974-02;4,2;0;  Unknown;9991001;;2,896;240;Stork-Werkspoor Diesel BV - Netherlands;8;Kromhout;8FBHD240;260;4;Oil;1;900;Serbia;0,00;0,00;0,00;2,50;Distillate Fuel;Not Applicable;0;  Unknown;;0;;0,000;2018-10-12;;105,030;279202573;Ladjar Transport doo;5709265;1971-01;Oil Engine(s), Geared Drive;0;Ladjar Transport doo;5709265;0;;;0;10,00;Chemical/Products Tanker, Inland Waterways;;Wroclawska Stocznia Rzeczna;POL011020;Ladjar Transport doo;5709265;In Service/Commission;Ladjar Transport doo;5709265;0;1974
