IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
5031468;AVENTURA;;;;;;6,46;6,510;6,460;1938-10;4;DGDL;;Germany (Pre-1949);280;1938-00;2,54;0;  Unknown;9991001;;2,337;280;Humboldt-Deutmotoren AG - Koeln;3;Deutz;SV3M345;450;4;Oil;1;;Germany;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;204;;0,000;2019-01-14;;38,770;211665880;Aventura Charter-Tours;5180588;1936-10;Oil Engine(s), Geared Drive;0;Aventura Charter-Tours;5180588;0;;;0;7,00;Passenger Ship, Inland Waterways;;Brand H. Kg;GER005010;Aventura Charter-Tours;5180588;In Service/Commission;  Unknown;9991001;0;1938
5390761;WILLIAM INGLIS;;;;;;7,62;0,000;7,620;1935-11;0;VC4159;;Canada;0;1935-11;2,62;0;  Unknown;9991001;;0,000;0;Caterpillar Inc - USA;;Caterpillar;;0;;Oil;2;;Canada;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;238;;0,000;2017-12-30;;27,650;;Toronto City;0337650;1935-01;Oil Engine(s), Geared Drive;0;Toronto City;0337650;0;;;0;10,00;Passenger Ship, Inland Waterways;;Inglis J;CAN010050;Toronto City;0337650;In Service/Commission;  Unknown;9991001;0;1935
5423623;ANDERE BOEG;;;;;;7,21;7,290;7,210;1963-00;0;PD4918;;Netherlands;507;1963-00;2,7;0;  Unknown;9991001;;2,458;220;Kloeckner-Humboldt-Deutz AG - West Germany;8;Deutz;SBA8M528;280;4;Oil;1;750;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;404;;0,000;2018-07-03;1962-11;55,550;244750359;Andere Boeg;5908425;1961-00;Oil Engine(s), Geared Drive;0;Andere Boeg;5908425;0;;;0;10,00;Passenger Ship, Inland Waterways;;Vos Scheepsbouw Groningen;NTH086021;Andere Boeg;5908425;In Service/Commission;Andere Boeg;5908425;0;1963
6619279;HOPPETOSSE;;;;;;7,60;7,600;0,000;1934-00;0;;;Germany (Pre-1949);0;1934-00;2,24;0;  Unknown;9991001;;0,000;180;Motoren Werke Mannheim AG (MWM) - West Germany;12;MWM;;220;4;Oil;1;;Germany;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;285;;0,000;2018-10-01;;43,790;;Schreiber OWA;0261099;1932-00;Oil Engine(s), Geared Drive;0;Schreiber OWA;0261099;0;;;0;0,00;Passenger Ship, Inland Waterways;;Atlas Werke AG;GER002010;Schreiber OWA;0261099;In Service/Commission;  Unknown;9991001;0;1934
7121530;WILHELM KROOSS;;;;;;14,03;14,460;14,030;1971-04;0;DA8027;;Germany, Federal Republic Of;0;1971-04;3;0;  Unknown;9991001;;1,397;135;Kloeckner-Humboldt-Deutz AG - West Germany;12;Deutz;SBF12M716;160;4;Oil;2;1500;Germany;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;480;1970-11;0,000;2018-09-25;1971-02;48,110;211440680;Unterelbe-Fahrbetrieb;1011317;1970-03;Oil Engine(s), Geared Drive;0;Unterelbe-Fahrbetrieb;1011317;0;;;0;8,50;Passenger/Ro-Ro Ship (Vehicles), Inland Waterways;;Kremer Elmshorn;GFR023019;Unterelbe-Fahrbetrieb;1011317;In Service/Commission;  Unknown;9991001;0;1971
7329675;ROLF-HEIN;;;;;;9,00;9,000;0,000;1973-10;0;;;Germany, Federal Republic Of;1560;1973-10;2,7;0;  Unknown;9991001;;2,700;200;MaK Motoren GmbH & Co. KG - Kiel;6;MaK;6M20;300;4;Oil;1;1000;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Stolt Tankers BV;Netherlands;0;1973-05;0,000;2018-12-05;1973-09;101,460;;Stolt-Nielsen Inland Tanker;1760051;1971-12;Oil Engine(s), Geared Drive;0;Stolt-Nielsen Inland Tanker;1760051;0;;;0;0,00;General Cargo, Inland Waterways;;Menzer-Werft Geesthacht;GFR028040;Stolt-Nielsen Inland Tanker;1760051;In Service/Commission;  Unknown;9991001;0;1973
7365849;MIDLIFE C;;;;;;9,40;9,450;9,400;1974-03;0;PD8963;;Netherlands;1191;1974-00;3,81;0;  Unknown;9991001;;2,871;220;NV Appingedammer Bronsmotorenfabrie - Netherlands;8;Brons;8GV-H;380;2;Oil;1;;Netherlands;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;777;;0,000;2018-09-05;;70,110;244690927;Busker JG;1997176;1971-03;Oil Engine(s), Direct Drive;0;Busker JG;1997176;0;;;0;11,00;General Cargo, Inland Waterways;;Bijlsma G Scheepswerf BV;NTH097050;Busker JG;1997176;In Service/Commission;  Unknown;9991001;0;1974
7421784;ROELOF SR.;;;;;;11,45;0,000;11,450;1975-09;0;PH9916;;Netherlands;1196;1975-09;3,79;0;  Unknown;9991001;;2,931;170;Caterpillar Tractor Co - USA;8;Caterpillar;3508TA;190;4;Oil;1;1800;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Van Oord NV;Netherlands;849;1975-02;0,000;2018-11-19;1975-09;110,000;244660801;Wagenborg Shipping BV;0303304;1974-12;Oil Engine(s), Geared Drive;0;Paans van Oord;1997216;0;;;0;10,00;General Cargo, Inland Waterways;;Goor's Bv;NTH171050;Wagenborg Shipping BV;0303304;In Service/Commission;  Unknown;9991001;0;1975
7424499;TUIMELAAR;;;;;;8,97;9,020;8,970;1975-05;0;PD3178;;Germany, Federal Republic Of;1458;1975-05;4,4;0;  Unknown;9991001;;3,191;320;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";8;S.K.L.;8NVD48-2U;480;4;Oil;1;;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;935;1974-07;0,000;2018-09-05;1975-04;80,090;244650012;Leeuwestein WS;1910938;1971-10;Oil Engine(s), Direct Drive;0;Leeuwestein WS;1910938;0;;;0;10,00;General Cargo, Inland Waterways;;Schloemer Gebr Oldersum;GFR043029;Leeuwestein WS;1910938;In Service/Commission;  Unknown;9991001;38;1975
7515418;VIKING RURIK;;;;;;16,00;16,700;16,000;1975-09;0;UAWG8;RR;German Democratic Republic;458;1975-09;4,5;0;  Unknown;9991001;;2,760;360;"Zavod ""Dvigatel Revolyutsii"" - Gorkiy";6;Dvigatel Revolyutsii;6CHN36/45;450;4;Oil;3;375;Russia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;5640;1974-02;0,000;2019-03-03;1974-05;122,430;273368610;Rptd Sold Undisclosed Interest;9991942;1974-01;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Cruise Ship, Inland Waterways;;Elbewerften Boizenburg;GDR008034;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1975
7515420;DNIPER PRINCESS;;;;;;16,00;16,700;16,000;1976-01;0;UWLW;UA;German Democratic Republic;458;1976-01;4,5;0;  Unknown;9991001;;2,760;360;"Zavod ""Dvigatel Revolyutsii"" - Gorkiy";6;Dvigatel Revolyutsii;6CHN36/45;450;4;Oil;3;375;Ukraine;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;5235;1974-06;0,000;2019-03-03;1974-10;122,430;272064900;Chervona Ruta Cruise Co Ltd;5987119;1974-01;Oil Engine(s), Direct Drive;0;Breeze Cruise Lines Ltd;5050505;0;;;0;0,00;Cruise Ship, Inland Waterways;;Elbewerften Boizenburg;GDR008034;Chervona Ruta Cruise Co Ltd;5987119;In Service/Commission;  Unknown;9991001;0;1976
