IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
5285095;ADJA-B;;;;;;7,95;7,950;0,000;1937-09;0;PI3406;;Netherlands;488;1937-07;3,11;0;  Unknown;9991001;;2,953;137;Caterpillar Inc - USA;12;Caterpillar;3412;152;4;Oil;2;;Netherlands;21,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;388;;0,000;2018-10-10;;69,900;244710744;van Bezooijen DJ&A;5205171;1935-00;Oil Engine(s), Geared Drive;0;van Bezooijen DJ&A;5205171;0;;;0;10,00;Dredging, Inland Waterways;;Werf Gebr. Deest Nv;NTH078022;van Bezooijen DJ&A;5205171;In Service/Commission;  Unknown;9991001;0;1937
6415439;KARIN;;;;;;6,30;6,860;6,300;1964-08;0;PD2993;;Belgium;0;1964-08;3,18;0;  Unknown;9991001;;2,902;150;Mitsubishi Heavy Industries Ltd - Japan;12;Mitsubishi;S12A2-MPTK;160;4;Oil;1;2100;Netherlands;12,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;110;1964-03;0,000;2019-02-28;1964-05;27,670;244690299;Rptd Sold Undisclosed Interest;9991942;1963-12;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;12,00;Towing/Pushing, Inland Waterways;;Fulton Engineering Ruisbr;BLG012030;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1964
7398250;ELIZABETH R;;;;;;9,12;0,000;9,120;1973-00;0;WDG5460;;United States Of America;0;1973-00;2,9;0;  Unknown;9991001;;0,000;0;Unknown;;;;0;Y;Oil;1;;United States Of America;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Kirby Corp;United States Of America;242;;0,000;2018-11-14;1973-00;26,340;367546910;Kirby Inland Marine LP;1930958;1971-00;Oil Engine(s), Direct Drive;0;Kirby Inland Marine LP;1930958;0;;;0;0,00;Towing/Pushing, Inland Waterways;;Halter Services Lockport;USA082036;Kirby Inland Marine LP;1930958;In Service/Commission;Kirby Inland Marine LP;1930958;0;1973
7434200;INKUNZI;;;;;;22,61;23,020;22,610;1977-07;0;ZR4301;;South Africa;398;1977-07;4,22;0;  Unknown;9991001;;2,652;135;Kloeckner-Humboldt-Deutz AG - West Germany;16;Deutz;BF16M716;160;4;Oil;3;1500;South Africa;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Transnet Ltd;South Africa;1093;1976-04;0,000;2019-03-03;1976-11;58,600;;Transnet Ltd;0050170;1975-07;Oil Engine(s), Electric Drive;0;Transnet Ltd;0050170;0;;;0;0,00;Other Activities, Inland Waterways;;Dorman Long Swan Hu;SAF006029;Portnet Dredging Services;1508205;In Service/Commission;  Unknown;9991001;0;1977
7434212;INDLOVU;;;;;;22,61;23,020;22,610;1976-12;0;ZR4464;;South Africa;398;1976-12;4,22;0;  Unknown;9991001;;2,601;135;Kloeckner-Humboldt-Deutz AG - West Germany;16;Deutz;BF16M716;160;4;Oil;3;1500;South Africa;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Transnet Ltd;South Africa;1093;1975-08;0,000;2019-03-03;1976-03;58,600;;Transnet Ltd;0050170;1974-12;Oil Engine(s), Electric Drive;0;Transnet Ltd;0050170;0;;;0;0,00;Other Activities, Inland Waterways;;Dorman Long Swan Hu;SAF006029;Portnet Dredging Services;1508205;In Service/Commission;  Unknown;9991001;0;1976
7637022;VEERLE;;;;;;13,01;0,000;13,010;1978-03;0;PA2806;;Netherlands;0;1978-03;2,82;0;  Unknown;9991001;;1,701;190;'Bolnes' Motorenfabriek BV - Netherlands;10;Bolnes;10DNL170/600;350;2;Oil;3;600;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;250;1977-09;0,000;2018-11-09;1977-11;35,010;244020518;Mannesmann;0640096;1976-03;Oil Engine(s), Geared Drive;0;Mannesmann;0640096;0;;;0;0,00;Towing/Pushing, Inland Waterways;;Biesbosch Dordrecht;NTH026052;Mannesmann;0640096;In Service/Commission;  Unknown;9991001;0;1978
7741902;VALK;;;;;;5,40;5,520;5,400;1956-03;0;PD6529;;Netherlands;225;1955-00;2,01;0;  Unknown;9991001;;0,000;108;General Motors-Detroit Diesel Allison Divn - USA;8;G.M. (Detroit Diesel);8V-71-N;127;2;Oil;1;;Netherlands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;0;1955-06;0,000;2018-01-27;1956-01;36,500;244870607;Vacuum Cleaning;0757783;1954-06;Oil Engine(s), Geared Drive;0;Vacuum Cleaning;0757783;0;;;0;0,00;Dredging, Inland Waterways;;Kooiman;NTH491038;Vacuum Cleaning;0757783;In Service/Commission;  Unknown;9991001;0;1956
7742669;MITAI;;;;;;12,01;12,020;12,010;1978-00;0;;;Argentina;640;1978-00;2,6;0;  Unknown;9991001;;0,000;235;Industrias Argentinas MAN SAIC - Argentina;6;MAN;G6V235/330ATL;330;4;Oil;4;600;Argentina;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Fluvialba SA;Argentina;229;;0,000;2019-03-04;;37,010;;Fluvialba SA;1853831;1976-00;Oil Engine(s), Geared Drive;0;Fluvialba SA;1853831;0;;;0;0,00;Towing/Pushing, Inland Waterways;;Forte;ARG032059;Fluvialba SA;1853831;In Service/Commission;  Unknown;9991001;0;1978
7800071;BARGARTH;;;;;;8,51;8,920;8,510;1979-11;0;GBBT;;United Kingdom;77;1979-11;3,51;0;  Unknown;9991001;;2,975;254;Ruston Diesels Ltd. - Newton-le-Willows;6;Ruston;6RK3CM;305;4;Oil;2;;United Kingdom;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Bilberry Shipping;Irish Republic;225;1978-08;0,000;2019-03-04;1979-06;28,430;;Fastnet Shipping Ltd;5011675;1977-11;Oil Engine(s), Geared Drive;0;Tuskar Shipping Gibraltar Ltd;1671255;0;;;0;12,00;Towing/Pushing, Inland Waterways;;Scott & Sons (B.S.);GBI077287;Fastnet Shipping Ltd;5011675;In Service/Commission;  Unknown;9991001;0;1979
7807158;HORUS 2;;;;;;8,01;8,540;8,010;1979-05;0;SSCR;LR;Korea, South;80;1979-05;3,71;0;  Unknown;9991001;20160229;2,814;230;Motoren Werke Mannheim AG (MWM) - West Germany;8;MWM;TBD440-8;270;4;Oil;1;900;Egypt;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Egypt Govt;Egypt;251;1978-06;0,000;2017-08-16;1978-12;43,410;;Suez Canal Authority;0104144;1977-05;Oil Engine(s), Geared Drive;0;Suez Canal Authority;0104144;0;;;0;10,00;Towing/Pushing, Inland Waterways;;Koo-Il Industries Co Ltd;KRS020068;Suez Canal Authority;0104144;Laid-Up;Suez Canal Authority;0104144;0;1979
7807160;HORUS 3;;;;;;8,01;8,540;8,010;1979-05;0;SSCS;;Korea, South;80;1979-05;3,71;0;  Unknown;9991001;;2,814;230;Motoren Werke Mannheim AG (MWM) - West Germany;8;MWM;TBD440-8;270;4;Oil;1;900;Egypt;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Egypt Govt;Egypt;251;1978-06;0,000;2019-03-04;1978-12;43,410;;Suez Canal Authority;0104144;1977-05;Oil Engine(s), Geared Drive;0;Suez Canal Authority;0104144;0;;;0;0,00;Towing/Pushing, Inland Waterways;;Koo-Il Industries Co Ltd;KRS020068;Suez Canal Authority;0104144;In Service/Commission;  Unknown;9991001;0;1979
7852866;INERT GAS No. 1;;;;;;12,40;12,420;12,400;1973-08;0;JG3315;;Japan;0;1973-08;2,8;0;  Unknown;9991001;;1,800;0;Mitsubishi Heavy Industries Ltd - Japan;;Mitsubishi;;0;Y;Oil;1;;Japan;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Uyeno Unyu Shokai;Japan;468;1973-02;0,000;2012-01-02;1973-04;36,700;;Uyeno Kosan KK;0674138;1971-08;Oil Engine(s), Direct Drive;0;Uyeno Kosan KK;0674138;0;;;0;1,50;Other Activities, Inland Waterways;;Mitsubishi Hiroshim;JPN421299;Uyeno Kosan KK;0674138;In Service/Commission;  Unknown;9991001;0;1973
8011627;YL 09;;;;;;7,01;0,000;7,010;1980-03;0;;;Japan;52;1980-03;2,62;0;  Unknown;9991001;;1,042;135;Isuzu Marine Engine Inc - Japan;6;Isuzu;E120T-MF6R;140;4;Oil;2;2200;Japan;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Japan Govt;Japan;125;1979-11;0,000;2019-01-25;1980-03;27,010;;Japan Govt Defence Agency;0677676;1978-03;Oil Engine(s), Geared Drive;0;Japan Govt Defence Agency;0677676;0;;;0;0,00;Other Activities, Inland Waterways;;Yokohama Yacht Co Ltd;JPN206153;Japan Govt Defence Agency;0677676;In Service/Commission;  Unknown;9991001;0;1980
8132914;MISS AUDREY;;;;;;7,93;7,930;0,000;1980-00;0;;;United States Of America;0;1980-00;2,6;0;  Unknown;9991001;;0,000;108;General Motors-Detroit Diesel Allison Divn - USA;8;G.M. (Detroit Diesel);8V-71-TI;127;2;Oil;1;;Nigeria;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;133;;0,000;2019-03-05;;19,820;;Seiya Ltd;5436341;1978-00;Oil Engine(s), Direct Drive;0;Seiya Ltd;5436341;0;;;0;0,00;Towing/Pushing, Inland Waterways;;Henry's;USAG61050;Seiya Ltd;5436341;In Service/Commission;  Unknown;9991001;0;1980
8306412;RPA 14;;;;;;7,82;8,030;7,820;1985-07;0;PE6822;;Netherlands;0;1985-07;4,04;0;  Unknown;9991001;;3,150;137;Caterpillar Tractor Co - USA;12;Caterpillar;3412TA;152;4;Oil;2;1800;Netherlands;80,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Rotterdam Port;Netherlands;200;1983-05;0,000;2019-03-05;1984-01;30,210;244070903;Rotterdam Port;0909773;1983-03;Oil Engine(s), Geared Drive;0;Rotterdam Port;0909773;0;;;0;11,50;Towing/Pushing, Inland Waterways;;Gorter Machinefabriek;NTH439056;Rotterdam Port;0909773;In Service/Commission;Rotterdam Port;0909773;0;1985
8334615;CAPITAN REY II;;;;;;11,28;0,000;11,280;1967-01;0;LW9045;LR BV;United States Of America;813;1967-01;3,2;0;  Unknown;9991001;;2,580;230;General Motors-Detroit Diesel Allison Divn - USA;16;G.M. (Detroit Diesel);16-645-E2;254;2;Oil;2;;Argentina;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;National Shipping SA;Argentina;428;;0,000;2019-03-05;;39,500;701006250;National Shipping SA;5351776;1966-01;Oil Engine(s), Geared Drive;0;National Shipping SA;5351776;0;;;0;0,00;Towing/Pushing, Inland Waterways;;Marine Welding;USA325046;National Shipping SA;5351776;In Service/Commission;National Shipping SA;5351776;0;1967
