IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
9880776;FREIRE 724;;;;;;18,00;0,000;18,000;2021-11;0;;LR;Spain;0;;0;0;;;;0,000;170;Caterpillar Inc - USA;16;Caterpillar;3516;190;4;Oil;5;1800;Cayman Islands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;6000;;0,000;2019-03-04;;98,400;;Owner Unknown;9999996;2018-02;Oil Engine(s), Geared Drive;0;Owner Unknown;9999996;0;;;0;0,00;Yacht;;Freire Vigo;SPN034017;Owner Unknown;9999996;On Order/Not Commenced;  Unknown;9991001;0;2021
9880532;EURUS;;;;;;6,95;0,000;6,950;2019-04;0;J8Y4691;RI;Italy;0;;3,45;0;;;;2,000;0;MAN Nutzfahrzeuge AG - Nuernberg;;MAN;;0;;Oil;2;;St Vincent & The Grenadines;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;164;2017-04;0,000;2019-02-28;2019-02;28,950;376229000;Eurus Ltd;4262597;2017-02;Oil Engine(s), Geared Drive;0;Eurus Ltd;4262597;0;;;0;0,00;Yacht;;Azimut-Benetti SpA - Viareggio;ITL276070;Eurus Ltd;4262597;Launched;  Unknown;9991001;0;2019
9880518;MARIA THERESA;;;;;;7,68;0,000;7,680;2019-03;0;ZGIK3;RI;Italy;0;;3,78;0;;;;2,180;0;MAN Diesel A/S - Denmark;;;;0;;Oil;2;;Cayman Islands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;183;2017-09;0,000;2019-02-28;2018-12;33,000;319156400;Top Boat Ltd;4262570;2017-06;Oil Engine(s), Geared Drive;0;Top Boat Ltd;4262570;0;;;0;0,00;Yacht;;Ferretti Cantieri - Ancona;ITL320020;Top Boat Ltd;4262570;Launched;  Unknown;9991001;0;2019
9880336;DAMEN GORINCHEM 548104;;;;;;11,00;0,000;11,000;2022-10;0;;LR;Turkey;0;;5,15;0;;;;0,000;0;Unknown;;;;0;;Oil;2;;Cayman Islands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;1090;;0,000;2019-02-25;;55,800;;Owner Unknown;9999996;2019-02;Oil Engine(s), Geared Drive;0;Owner Unknown;9999996;0;;;0;0,00;Yacht;;Damen Shipyards Antalya;TRK136150;Owner Unknown;9999996;On Order/Not Commenced;  Unknown;9991001;0;2022
9880324;AMELS 6002;;;;;;9,40;0,000;9,400;2022-10;0;;LR;Poland;0;;5,05;0;;;;0,000;0;Unknown;;;;0;;Oil;2;;Cayman Islands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;817;;0,000;2019-02-25;;60,000;;Owner Unknown;9999996;2019-02;Oil Engine(s), Geared Drive;0;Owner Unknown;9999996;0;;;0;0,00;Yacht;;Damen Shipyards Gdynia SA;POL013053;Owner Unknown;9999996;On Order/Not Commenced;  Unknown;9991001;0;2022
9880312;AMELS 6001;;;;;;9,40;0,000;9,400;2022-05;0;;LR;Poland;0;;5,05;0;;;;0,000;0;Unknown;;;;0;;Oil;2;;Cayman Islands;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;817;;0,000;2019-02-25;;60,000;;Owner Unknown;9999996;2019-02;Oil Engine(s), Geared Drive;0;Owner Unknown;9999996;0;;;0;0,00;Yacht;;Damen Shipyards Gdynia SA;POL013053;Owner Unknown;9999996;On Order/Not Commenced;  Unknown;9991001;0;2022
9879387;FRATELLI;;;;;;7,33;0,000;7,330;2019-04;0;;RI;United Kingdom;0;;3,79;0;;;;2,120;135;MTU Friedrichshafen GmbH - Friedrichshafen;16;M.T.U.;16V2000M93;156;4;Oil;2;;Australia;5,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;245;;0,000;2019-02-26;2019-02;35,200;;Fratelli Holdings Pty Ltd;4261996;2017-01;Oil Engine(s), Geared Drive;0;Fratelli Holdings Pty Ltd;4261996;0;;;0;30,00;Yacht;;Sunseeker International Ltd;GBI246050;Fratelli Holdings Pty Ltd;4261996;Launched;  Unknown;9991001;0;2019
9879026;CODECASA UGO F78;Caterpillar;Caterpillar;C7;4;155;10,20;0,000;10,200;2021-06;0;;;Italy;0;;5,4;700;;;;3,000;170;Caterpillar Inc - USA;12;Caterpillar;3512E;215;4;Oil;2;1800;United Kingdom;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;750;;0,000;2019-02-20;;50,000;;Owner Unknown;9999996;2019-01;Oil Engine(s), Geared Drive;0;Owner Unknown;9999996;0;;;0;17,00;Yacht;;Codecasa Ugo;ITL035010;Owner Unknown;9999996;On Order/Not Commenced;  Unknown;9991001;0;2021
9879014;CRN ANCONA SYD03;;;;;;8,70;0,000;8,700;2021-06;0;;;Italy;0;;4,7;0;;;;0,000;170;MTU Friedrichshafen GmbH - Friedrichshafen;8;M.T.U.;8V4000M63;210;4;Oil;2;1800;United Kingdom;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;499;;0,000;2019-02-20;;52,000;;Owner Unknown;9999996;2019-01;Oil Engine(s), Geared Drive;0;Owner Unknown;9999996;0;;;0;0,00;Yacht;;C.R.N. Ancona;ITL277046;Owner Unknown;9999996;On Order/Not Commenced;  Unknown;9991001;0;2021
9879002;CRN ANCONA SYD02;;;;;;8,70;0,000;8,700;2021-06;0;;;Italy;0;;4,7;0;;;;0,000;170;MTU Friedrichshafen GmbH - Friedrichshafen;8;M.T.U.;8V4000M63;210;4;Oil;2;1800;United Kingdom;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;;499;;0,000;2019-02-20;;52,000;;Owner Unknown;9999996;2019-01;Oil Engine(s), Geared Drive;0;Owner Unknown;9999996;0;;;0;0,00;Yacht;;C.R.N. Ancona;ITL277046;Owner Unknown;9999996;On Order/Not Commenced;  Unknown;9991001;0;2021
