IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
1510648;SB 3;;;;;;18,29;0,000;18,288;1993-10;0;;;United States Of America;0;1993-10;3,65;0;  Unknown;9991001;;0,000;0;Unknown;;Non-Propelled;;0;;;0;;United States Of America;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Great Lakes Dredge & Dock Co;United States Of America;725;;0,000;2018-12-20;1993-10;36,576;;Great Lakes Dredge & Dock Co;0351738;1993-01;Non-Propelled;0;Great Lakes Dredge & Dock Co;0351738;0;;;0;0,00;Pontoon (Function Unknown);;Nashville Bridge;USA270044;Great Lakes Dredge & Dock Co;0351738;In Service/Commission;  Unknown;9991001;0;1993
5009984;ST. MARYS CHALLENGER;;;;;;17,07;17,120;17,070;1906-04;0;;AB;United States Of America;11543;1906-04;9,48;0;  Unknown;9991001;20130629;6,471;0;Unknown;;Non-Propelled;;0;;;0;;United States Of America;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;Sand Products Corp;United States Of America;6969;;0,000;2017-05-23;;160,630;;Port City Marine Services Inc;5417933;1903-01;Non-Propelled;0;Port City Steamship Holding Co;5588153;0;;;0;0,00;Covered Bulk Cargo Barge, non propelled;;Great Lakes Eng Ecorse;USAA18060;Port City Marine Services Inc;5417933;In Service/Commission;Port City Marine Services Inc;5417933;0;1906
5103405;EMLAK;;;;;;20,25;20,600;20,250;1960-07;0;SUWQ;;Germany, Federal Republic Of;0;1960-07;3,56;0;  Unknown;9991001;;2,401;235;Maschinenbau Augsburg-Nuernberg (MAN) - Augsburg;8;MAN;G8V235/330ATL;330;4;Oil;2;;Egypt;26,50;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Egypt Govt;Egypt;825;;0,000;2011-12-09;;44,860;;Suez Canal Authority;0104144;1958-07;Oil Engine(s), Electric Drive;0;Suez Canal Authority;0104144;0;;;0;5,00;Crane Vessel, non propelled;;Orenstein-Koppel;GFR033034;Suez Canal Authority;0104144;Laid-Up;  Unknown;9991001;0;1960
5186225;KHALED;Deutz;Deutz;F3L514;;0;13,20;13,520;13,200;1960-05;0;;;Germany, Federal Republic Of;0;1960-05;2,75;0;  Unknown;9991001;;1,601;135;Kloeckner-Humboldt-Deutz AG - West Germany;6;Deutz;;170;4;Oil;2;1500;Egypt;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Egypt Govt;Egypt;220;;0,000;2019-02-28;;23,020;;Suez Canal Authority;0104144;1958-05;Oil Engine(s), Electric Drive;0;Suez Canal Authority;0104144;0;;;0;0,00;Crane Vessel, non propelled;;Ruhrorter;GFR088018;Suez Canal Authority;0104144;In Service/Commission;  Unknown;9991001;0;1960
5233585;METIS;;;;;;13,37;13,390;13,370;1956-07;0;VGXV;LR;Canada;6241;1956-07;7,93;7386;  Unknown;9991001;20230601;6,033;0;Unknown;;Non-Propelled;;0;N;;0;;Canada;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;Essroc Canada Inc;Canada;3328;1956-03;0,000;2019-01-02;1956-06;100,870;;Essroc Canada Inc;1040984;1955-12;Non-Propelled;0;Essroc Canada Inc;1040984;0;;;0;0,00;General Cargo Barge, non propelled;;Davie Shipbuilding Ltd;CAN080060;Toronto Drydock Ltd;1879321;In Service/Commission;Toronto Drydock Ltd;1879321;0;1956
5272270;LOTTA;;;;;;16,13;16,130;0,000;1960-11;0;UBHD;;U.S.S.R.;1848;1960-11;8,28;7948;  Unknown;9991001;;6,000;0;Unknown;;Non-Propelled;;0;;;0;;Russia;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;Russia Govt;Russia;4004;;0,000;2019-02-28;;121,800;273132100;Atomflot FSUE;1451236;1958-11;Non-Propelled;0;Russia Govt;1253128;0;;;0;0,00;General Cargo Barge, non propelled;;Baltiyskiy;USR004011;Atomflot FSUE;1451236;In Service/Commission;Atomflot FSUE;1451236;0;1960
5336351;MENOMINEE;;;;;;21,34;21,390;21,340;1952-00;0;WE5197;AB;United States Of America;22353;1952-00;11,28;0;  Unknown;9991001;20200512;8,002;0;Unknown;;Non-Propelled;;0;;;0;;United States Of America;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;Rand Logistics Inc;United States Of America;9097;;0,000;2018-07-31;;191,400;;Grand River Navigation Co Inc;1901886;1949-01;Non-Propelled;0;Black Creek Shipping Co Inc;5597991;0;2011-02-15;$18400000;0;0,00;General Cargo Barge, non propelled;;Bethlehem-Sparrows;USA404433;Grand River Navigation Co Inc;1901886;In Service/Commission;Grand River Navigation Co Inc;1901886;0;1952
5384358;VIBEKE MADSEN;;;;;;6,00;6,050;6,000;1960-00;0;OXSL;;Denmark;200;1960-00;0;0;  Unknown;9991001;;0,000;260;A/S Motorfabriken Gamma - Denmark;6;;;410;4;Oil;1;;Denmark;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;  Unknown;;111;;0,000;2019-02-28;;25,630;;Larsen T;5222841;1958-00;Oil Engine(s), Direct Drive;0;Larsen T;5222841;0;;;0;0,00;General Cargo Barge, non propelled;;Sonderborg Skibsvaerft A/S;DEN026029;Larsen T;5222841;In Service/Commission;  Unknown;9991001;0;1960
5425358;GOLDEN QUEEN;;;;;;10,98;13,720;10,980;1949-00;0;VYZS;;Canada;0;1949-00;2,44;0;  Unknown;9991001;;0,000;229;Vivian Engine Works Ltd - Canada;6;;;305;4;Oil;2;;Canada;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;276;;0,000;2018-10-24;;44,200;;Rptd Sold Undisclosed Interest;9991942;1947-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;9,00;Work/Maintenance Pontoon, non propelled  ;;Yarrows Ltd;CAN018032;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1949
6614463;IRVING DOLPHIN;;;;;;15,24;15,570;15,240;1966-06;0;;;Canada;2134;1990-01;3,97;0;  Unknown;9991001;;3,014;0;Unknown;;Non-Propelled;NNNNNN;0;N;;0;;Canada;;0,00;0,00;0,00;Not Applicable;Not Applicable;0;JD Irving Ltd;Canada;1126;;0,000;2017-10-12;;61,120;;JD Irving Ltd;0044729;1964-06;Non-Propelled;0;JD Irving Ltd;0044729;0;;;0;0,00;Products Tank Barge, non propelled;;Saint John Shipbuilding & DD;CAN015032;JD Irving Ltd;0044729;In Service/Commission;  Unknown;9991001;0;1966
