IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
4000292;F.D. ASRY DOCK 2;;;;;;0,00;0,000;0,000;1973-04;0;;LR;Germany, Federal Republic Of;0;1973-04;0;0;  Unknown;9991001;20210626;0,000;0;Unknown;;Non-Propelled;;0;;;0;;Bahrain;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;Arab Shipbuilding & Repair;Bahrain;0;1972-08;0,000;2017-10-12;1973-04;252,000;;Arab Shipbuilding & Repair;0095781;1972-05;Non-Propelled;0;Arab Shipbuilding & Repair;0095781;0;;;0;0,00;Floating Dock;;Gutehoffnungshuette St;GFR014351;Arab Shipbuilding & Repair;0095781;In Service/Commission;  Unknown;9991001;0;1973
4000307;M.L.D. WAPPING;;;;;;0,00;0,000;0,000;1973-05;0;;LR;United Kingdom;0;1973-05;0;0;  Unknown;9991001;19910101;0,000;0;Unknown;;Non-Propelled;;0;;;0;;United Kingdom;0,00;0,00;0,00;0,00;Not Applicable;Not Applicable;0;  Unknown;;0;;0,000;2017-11-09;;13,750;;Metropolitan Police;3002301;1970-01;Non-Propelled;0;Metropolitan Police;3002301;0;;;0;0,00;Mechanical Lift Dock;;United Kingdom Unknown;GBI000011;Metropolitan Police;3002301;In Service/Commission;  Unknown;9991001;0;1973
4908303;H-187;Lister Petter;Petters;LPW4;4;30;10,02;11,300;10,020;2012-02;0;;LR;United Kingdom;4;2012-02;1,48;28;  Unknown;9991001;;0,000;145;IVECO AIFO S.p.A. - Pregnana Milanese;8;Iveco Aifo;Vector VE20;152;4;Oil;2;2200;India;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;India Govt;India;28;2010-12;0,000;2019-02-28;;24,450;;India Govt Coast Guard;0921051;2010-01;Oil Engine(s), Geared Drive;0;India Govt Coast Guard;0921051;0;;;0;45,00;Air Cushion Vehicle Patrol Vessel;;Griffon Hoverwork Ltd;GBI127060;India Govt Coast Guard;0921051;In Service/Commission;  Unknown;9991001;0;2012
4908315;H-188;Lister Petter;Petters;LPW4;4;30;5,30;11,300;5,300;2012-05;0;;LR;United Kingdom;4;2012-05;1,48;28;  Unknown;9991001;;0,000;145;IVECO AIFO S.p.A. - Pregnana Milanese;8;Iveco Aifo;Vector VE20;152;4;Oil;2;2200;India;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;India Govt;India;28;2011-03;0,000;2019-02-28;;24,450;;India Govt Coast Guard;0921051;2010-01;Oil Engine(s), Geared Drive;0;India Govt Coast Guard;0921051;0;;;0;45,00;Air Cushion Vehicle Patrol Vessel;;Griffon Hoverwork Ltd;GBI127060;India Govt Coast Guard;0921051;In Service/Commission;  Unknown;9991001;0;2012
4908327;H-189;Lister Petter;Petters;LPW4;4;30;5,30;11,300;5,300;2012-08;0;;LR;United Kingdom;4;2012-08;1,48;30;  Unknown;9991001;;0,000;145;IVECO AIFO S.p.A. - Pregnana Milanese;8;Iveco Aifo;Vector VE20;152;4;Oil;2;2200;India;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;India Govt;India;28;2011-06;0,000;2019-02-28;;24,450;;India Govt Coast Guard;0921051;2010-01;Oil Engine(s), Geared Drive;0;India Govt Coast Guard;0921051;0;;;0;45,00;Air Cushion Vehicle Patrol Vessel;;Griffon Hoverwork Ltd;GBI127060;India Govt Coast Guard;0921051;In Service/Commission;  Unknown;9991001;0;2012
4908339;H-190;Lister Petter;Petters;LPW4;4;30;5,30;11,300;5,300;2012-11;0;;LR;United Kingdom;4;2012-11;1,48;30;  Unknown;9991001;;0,000;145;IVECO AIFO S.p.A. - Pregnana Milanese;8;Iveco Aifo;Vector VE20;152;4;Oil;2;2200;India;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;India Govt;India;28;2011-09;0,000;2019-02-28;;24,450;;India Govt Coast Guard;0921051;2010-01;Oil Engine(s), Geared Drive;0;India Govt Coast Guard;0921051;0;;;0;45,00;Air Cushion Vehicle Patrol Vessel;;Griffon Hoverwork Ltd;GBI127060;India Govt Coast Guard;0921051;In Service/Commission;  Unknown;9991001;0;2012
4908341;H-191;Lister Petter;Petters;LPW4;4;30;5,30;11,300;5,300;2013-01;0;;LR;United Kingdom;4;2013-01;1,48;30;  Unknown;9991001;;0,000;145;IVECO AIFO S.p.A. - Pregnana Milanese;8;Iveco Aifo;Vector VE20;152;4;Oil;2;2200;India;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;India Govt;India;28;;0,000;2019-02-28;;24,450;;India Govt Coast Guard;0921051;2010-01;Oil Engine(s), Geared Drive;0;India Govt Coast Guard;0921051;0;;;0;0,00;Air Cushion Vehicle Patrol Vessel;;Griffon Hoverwork Ltd;GBI127060;India Govt Coast Guard;0921051;In Service/Commission;  Unknown;9991001;0;2013
4908353;H-192;Lister Petter;Petters;LPW4;4;30;5,30;11,300;5,300;2013-04;0;;LR;United Kingdom;4;2013-04;1,48;30;  Unknown;9991001;;0,000;145;IVECO AIFO S.p.A. - Pregnana Milanese;8;Iveco Aifo;Vector VE20;152;4;Oil;2;2200;India;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;India Govt;India;28;;0,000;2019-02-28;;24,450;;India Govt Coast Guard;0921051;2010-01;Oil Engine(s), Geared Drive;0;India Govt Coast Guard;0921051;0;;;0;0,00;Air Cushion Vehicle Patrol Vessel;;Griffon Hoverwork Ltd;GBI127060;India Govt Coast Guard;0921051;In Service/Commission;  Unknown;9991001;0;2013
4908365;H-193;Lister Petter;Petters;LPW4;4;30;5,30;11,300;5,300;2013-07;0;;LR;United Kingdom;4;2013-07;1,48;30;  Unknown;9991001;;0,000;145;IVECO AIFO S.p.A. - Pregnana Milanese;16;Iveco Aifo;VE20;152;4;Oil;2;2200;India;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;India Govt;India;28;;0,000;2019-02-28;;24,450;;India Govt Coast Guard;0921051;2010-01;Oil Engine(s), Geared Drive;0;India Govt Coast Guard;0921051;0;;;0;0,00;Air Cushion Vehicle Patrol Vessel;;Griffon Hoverwork Ltd;GBI127060;India Govt Coast Guard;0921051;In Service/Commission;  Unknown;9991001;0;2013
4908377;H-194;LISTERPET;PETTERS;LPW4;4;30;5,30;11,300;5,300;2013-10;0;;LR;United Kingdom;4;2013-10;1,48;30;  Unknown;9991001;;0,000;145;IVECO AIFO S.p.A. - Pregnana Milanese;8;Iveco Aifo;Vector VE20;152;4;Oil;2;2200;India;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;India Govt;India;28;;0,000;2019-02-28;;24,450;;India Govt Coast Guard;0921051;2010-01;Oil Engine(s), Geared Drive;0;India Govt Coast Guard;0921051;0;;;0;0,00;Air Cushion Vehicle Patrol Vessel;;Griffon Hoverwork Ltd;GBI127060;India Govt Coast Guard;0921051;In Service/Commission;  Unknown;9991001;0;2013
4908389;H-195;Lister Petter;Petters;LPW4;4;30;5,30;11,300;5,300;2014-01;0;;LR;United Kingdom;4;2014-01;1,48;30;  Unknown;9991001;;0,000;145;IVECO AIFO S.p.A. - Pregnana Milanese;8;Iveco Aifo;Vector VE20;152;4;Oil;2;2200;India;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;India Govt;India;28;;0,000;2019-02-28;;24,450;;India Govt Coast Guard;0921051;2010-01;Oil Engine(s), Geared Drive;0;India Govt Coast Guard;0921051;0;;;0;0,00;Air Cushion Vehicle Patrol Vessel;;Griffon Hoverwork Ltd;GBI127060;India Govt Coast Guard;0921051;In Service/Commission;  Unknown;9991001;0;2014
4908391;H-196;Lister Petter;Petters;LPW4;4;30;10,02;11,300;10,020;2014-05;0;;LR;United Kingdom;4;2014-05;1,48;28;  Unknown;9991001;;0,000;145;IVECO AIFO S.p.A. - Pregnana Milanese;8;Iveco Aifo;Vector VE20;152;4;Oil;2;2200;India;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;India Govt;India;28;;0,000;2019-02-28;;24,450;;India Govt Coast Guard;0921051;2010-01;Oil Engine(s), Geared Drive;0;India Govt Coast Guard;0921051;0;;;0;45,00;Air Cushion Vehicle Patrol Vessel;;Griffon Hoverwork Ltd;GBI127060;India Govt Coast Guard;0921051;In Service/Commission;  Unknown;9991001;0;2014
