Niveau 1;Niveau 2;Niveau 3;Niveau 4
TANKERS;Liquefied Gas;LNG Tanker;LNG Tanker
TANKERS;Liquefied Gas;LNG Tanker;CNG Tanker
TANKERS;Liquefied Gas;LNG Tanker;Combinaison Gas Tanker
TANKERS;Liquefied Gas;LPG Tanker;LPG Tanker
TANKERS;Liquefied Gas;LPG Tanker;LPG Chemical Tanker
TANKERS;Liquefied Gas;CO2 Tanker;CO2 Tanker
TANKERS;Chemical;Chemical Tanker;Chemical Tanker
TANKERS;Chemical;Chemical Tanker;Molten Sulphur Tanker
TANKERS;Chemical;Chemical Oil Products tanker;Chemical Products Tanker
TANKERS;Chemical;Wine Tanker;Wine Tanker
TANKERS;Chemical;Vegetable Oil Tanker;Vegetable Oil Tanker
TANKERS;Chemical;Edible Oil Tanker;Edible Oil Tanker
TANKERS;Chemical;Beer Tanker;Beer Tanker
TANKERS;Chemical;Latex Tanker;Latex Tanker
TANKERS;Oil;Crude Oil Tanker;Crude Oil Tanker
TANKERS;Oil;Crude Oil Tanker;Shuttle Oil Tanker
TANKERS;Oil;Crude Oil Tanker;Crude Oil Products Tanker
TANKERS;Oil;Oil Products Tanker;Products Tanker
TANKERS;Oil;Oil Products Tanker;Tanker (unspecified)
TANKERS;Oil;Biyumen Tanker;Asphalt Bitumen Tanker
TANKERS;Oil;Coal Oil Mixture Tanker;Coal Oil Mixture Tanker
TANKERS;Other Liquids;Water Tanker;Water Tanker
TANKERS;Other Liquids;Fruit Juice Tanker;Fruit Juice Carrier, Refrigerated
TANKERS;Other Liquids;Molasses Tanker;Molasses Tanker
TANKERS;Other Liquids;Glue Tanker;Glue Tanker
TANKERS;Other Liquids;Alcohol Tanker;Alcohol Tanker
TANKERS;Other Liquids;Caprolactam Tanker;Caprolactam Tanker
BULK CARRIERS;Bulk Dry;Bulk Carrier;Bulk Carrier
BULK CARRIERS;Bulk Dry;Bulk Carrier;Bulk Carrier, Laker Only
BULK CARRIERS;Bulk Dry;Bulk Carrier;Bulk Carrier (with Vehicle Decks)
BULK CARRIERS;Bulk Dry;Ore Carrier;Ore Carrier
BULK CARRIERS;Bulk Dry Liquid;Bulk Liquid Carrier;Bulk Liquid Carrier
BULK CARRIERS;Bulk Dry Liquid;Bulk Oil Carrier;Bulk Oil Carrier (OBO)
BULK CARRIERS;Bulk Dry Liquid;Bulk Oil Carrier;Bulk Caustic Soda Carrier (CABU)
BULK CARRIERS;Bulk Dry Liquid;Bulk Oil Carrier;Bulk Sulphuric Acid Carrier
BULK CARRIERS;Bulk Dry Liquid;Ore Oil Carrier;Ore Oil Carrier
BULK CARRIERS;Bulk Dry Liquid;Ore Oil Carrier;Bulk Oil Chemical Carrier (CLEANBU)
BULK CARRIERS;Self Discharging Bulk Carrier;Self Discharging Bulk Carrier;Bulk Carrier, Self-discharging
BULK CARRIERS;Self Discharging Bulk Carrier;Self Discharging Bulk Carrier;Bulk Carrier, Self-discharging, Laker
BULK CARRIERS;Other Bulk Dry;Cement Carrier;Cement Carrier
BULK CARRIERS;Other Bulk Dry;Wood Chips Carrier;Wood Chips Carrier
BULK CARRIERS;Other Bulk Dry;Urea Carrier;Urea Carrier
BULK CARRIERS;Other Bulk Dry;Aggregates Carrier;Aggregates Carrier
BULK CARRIERS;Other Bulk Dry;Limestone Carrier;Limestone Carrier
BULK CARRIERS;Other Bulk Dry;Refined Sugar Carrier;Refined Sugar Carrier
BULK CARRIERS;Other Bulk Dry;Powder Carrier;Powder Carrier
DRY CARGO PASSENGER;General Cargo;General Cargo Ship;General Cargo Ship (with Ro-Ro facility)
DRY CARGO PASSENGER;General Cargo;General Cargo Ship;General Cargo Ship, self-discharging
DRY CARGO PASSENGER;General Cargo;General Cargo Ship;Open Hatch Cargo Ship
DRY CARGO PASSENGER;General Cargo;General Cargo Ship;General Cargo Ship
DRY CARGO PASSENGER;General Cargo;General Cargo Ship;General Cargo Tanker
DRY CARGO PASSENGER;General Cargo;Palletised Cargo Ship;Palletised Cargo Ship
DRY CARGO PASSENGER;General Cargo;Deck Cargo Ship;Deck Cargo Ship
DRY CARGO PASSENGER;Passenger General Cargo;Passenger General Cargo Ship;General Cargo Passenger Ship
DRY CARGO PASSENGER;Container;Container Ship;Container Ship (Fully Cellular Ro-Ro Facility)
